1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,LA Clippers,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Indiana
12:00.0,Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession),Jump ball: B. Lopez vs. J. Huff (D. Jones gains possession)
6:16.0,Shooting foul by M. Potter (drawn by I. Jackson),,29-49,,
6:16.0,I. Jackson misses free throw 1 of 2,,29-49,,
6:16.0,Offensive rebound by Team,,29-49,,
6:16.0,J. Collins enters the game for B. Mathurin,,29-49,,
6:16.0,,,29-49,,J. Huff enters the game for T. McConnell
6:16.0,,,29-49,,Q. Jackson enters the game for A. Nembhard
6:16.0,,,29-49,,B. Sheppard enters the game for M. Potter
6:16.0,I. Jackson misses free throw 2 of 2,,29-49,,
6:15.0,,,29-49,,Defensive rebound by A. Nesmith
6:05.0,,,29-49,,Shooting foul by K. Dunn (drawn by P. Siakam)
6:05.0,,,29-50,+1,P. Siakam makes free throw 1 of 2
6:05.0,B. Lopez enters the game for I. Jackson,,29-50,,
6:05.0,,,29-50,,P. Siakam misses free throw 2 of 2
6:03.0,Defensive rebound by K. Leonard,,29-50,,
5:51.0,D. Garland makes 2-pt jump shot from 8 ft (assist by B. Lopez),+2,31-50,,
5:45.0,,,31-50,,Offensive foul by P. Siakam (drawn by D. Garland)
5:45.0,,,31-50,,Turnover by P. Siakam (offensive foul)
5:45.0,D. Jones enters the game for K. Dunn,,31-50,,
5:35.0,D. Garland misses 3-pt jump shot from 29 ft,,31-50,,
5:33.0,Offensive rebound by B. Lopez,,31-50,,
5:33.0,B. Lopez makes 2-pt layup at rim,+2,33-50,,
5:33.0,Shooting foul by J. Huff (drawn by B. Lopez),,33-50,,
5:33.0,,,33-50,,Indiana full timeout
5:33.0,,,33-50,,O. Toppin enters the game for P. Siakam
5:33.0,B. Lopez makes free throw 1 of 1,+1,34-50,,
5:11.0,,,34-50,,Turnover by A. Nesmith (bad pass; steal by D. Jones)
5:07.0,D. Jones makes 2-pt layup from 2 ft,+2,36-50,,
4:51.0,,,36-52,+2,A. Nesmith makes 2-pt layup from 12 ft (assist by O. Toppin)
4:31.0,K. Leonard makes 2-pt jump shot from 18 ft (assist by B. Lopez),+2,38-52,,
4:08.0,,,38-52,,Personal foul by D. Jones (drawn by Q. Jackson)
4:08.0,,,38-52,,K. Brown enters the game for Q. Jackson
4:08.0,,,38-52,,A. Nembhard enters the game for B. Sheppard
3:53.0,,,38-52,,A. Nembhard misses 2-pt layup from 8 ft
3:51.0,Defensive rebound by J. Collins,,38-52,,
3:45.0,K. Leonard makes 2-pt layup at rim (assist by D. Garland),+2,40-52,,
3:29.0,,,40-54,+2,A. Nesmith makes 2-pt jump shot from 4 ft (assist by A. Nembhard)
3:29.0,,,40-54,,Shooting foul by J. Collins (drawn by A. Nesmith)
3:29.0,,,40-55,+1,A. Nesmith makes free throw 1 of 1
3:19.0,K. Leonard misses 2-pt jump shot from 14 ft,,40-55,,
3:18.0,,,40-55,,Defensive rebound by K. Brown
3:05.0,,,40-55,,Turnover by A. Nesmith (bad pass; steal by J. Collins)
3:00.0,D. Jones makes 2-pt dunk from 2 ft (assist by D. Garland),+2,42-55,,
2:58.0,,,42-55,,Indiana full timeout
2:58.0,,,42-55,,P. Siakam enters the game for O. Toppin
2:33.0,,,42-58,+3,A. Nembhard makes 3-pt jump shot from 26 ft (assist by J. Huff)
2:03.0,J. Collins misses 2-pt layup from 7 ft (block by K. Brown),,42-58,,
1:59.0,Offensive rebound by Team,,42-58,,
1:59.0,Turnover by Team (shot clock),,42-58,,
1:59.0,B. Mathurin enters the game for J. Collins,,42-58,,
1:52.0,,,42-58,,P. Siakam misses 2-pt jump shot from 9 ft (block by B. Lopez)
1:51.0,,,42-58,,Offensive rebound by Team
1:48.0,,,42-60,+2,P. Siakam makes 2-pt jump shot from 11 ft (assist by A. Nembhard)
1:23.0,Shooting foul by A. Nembhard (drawn by B. Mathurin),,42-60,,
1:23.0,B. Mathurin makes free throw 1 of 2,+1,43-60,,
1:23.0,K. Dunn enters the game for D. Garland,,43-60,,
1:23.0,B. Mathurin makes free throw 2 of 2,+1,44-60,,
1:12.0,,,44-60,,J. Huff misses 3-pt jump shot from 26 ft
1:09.0,,,44-60,,Offensive rebound by K. Brown
1:02.0,,,44-60,,A. Nesmith misses 2-pt layup from 3 ft
1:00.0,Defensive rebound by D. Jones,,44-60,,
0:58.0,Personal foul by A. Nembhard (drawn by B. Mathurin),,44-60,,
0:58.0,B. Mathurin makes free throw 1 of 2,+1,45-60,,
0:58.0,N. Batum enters the game for D. Jones,,45-60,,
0:58.0,,,45-60,,T. McConnell enters the game for A. Nembhard
0:58.0,B. Mathurin makes free throw 2 of 2,+1,46-60,,
0:45.0,,,46-60,,Turnover by K. Brown (bad pass; steal by K. Leonard)
0:43.0,K. Leonard makes 2-pt dunk from 1 ft,+2,48-60,,
0:19.0,,,48-60,,P. Siakam misses 2-pt jump shot from 15 ft
0:16.0,Defensive rebound by B. Lopez,,48-60,,
0:01.0,Shooting foul by K. Brown (drawn by B. Mathurin),,48-60,,
0:01.0,B. Mathurin makes free throw 1 of 2,+1,49-60,,
0:01.0,B. Mathurin makes free throw 2 of 2,+1,50-60,,
0:00.0,,,50-60,,Team misses heave shot
0:00.0,,,50-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter,End of 2nd quarter
3rd Q,3rd Q,3rd Q,3rd Q,3rd Q,3rd Q
Time,LA Clippers,,Score,,Indiana
12:00.0,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter,Start of 3rd quarter
11:52.0,,,50-60,,Turnover by J. Huff (out of bounds lost ball)
11:28.0,D. Garland makes 3-pt jump shot from 25 ft,+3,53-60,,
11:11.0,,,53-60,,Turnover by A. Nesmith (bad pass; steal by K. Leonard)
11:02.0,K. Leonard makes 2-pt layup from 2 ft,+2,55-60,,
10:48.0,,,55-60,,P. Siakam misses 2-pt layup from 2 ft
10:47.0,Defensive rebound by B. Lopez,,55-60,,
10:43.0,K. Leonard misses 3-pt jump shot from 26 ft,,55-60,,
10:41.0,Offensive rebound by J. Collins,,55-60,,
10:39.0,K. Leonard misses 3-pt jump shot from 25 ft,,55-60,,
10:35.0,,,55-60,,Defensive rebound by A. Nesmith
10:32.0,Violation by Team (kicked ball),,55-60,,
10:18.0,,,55-60,,Shooting foul by K. Leonard (drawn by K. Brown)
10:18.0,,,55-61,+1,K. Brown makes free throw 1 of 2
10:18.0,,,55-62,+1,K. Brown makes free throw 2 of 2
10:01.0,Personal foul by A. Nembhard (drawn by K. Leonard),,55-62,,
10:01.0,,,55-62,,Q. Jackson enters the game for A. Nembhard
9:59.0,B. Lopez makes 3-pt jump shot from 29 ft (assist by K. Leonard),+3,58-62,,
9:40.0,,,58-65,+3,A. Nesmith makes 3-pt jump shot from 29 ft (assist by P. Siakam)
9:17.0,K. Leonard misses 3-pt jump shot from 29 ft,,58-65,,
9:15.0,,,58-65,,Defensive rebound by J. Huff
9:04.0,,,58-65,,P. Siakam misses 2-pt jump shot from 19 ft
9:00.0,Defensive rebound by K. Leonard,,58-65,,
8:51.0,J. Collins makes 3-pt jump shot from 26 ft (assist by K. Leonard),+3,61-65,,
8:37.0,,,61-65,,K. Brown misses 3-pt jump shot from 28 ft
8:35.0,,,61-65,,Offensive rebound by Q. Jackson
8:26.0,,,61-65,,Q. Jackson misses 2-pt jump shot from 20 ft
8:23.0,Defensive rebound by K. Leonard,,61-65,,
8:17.0,Offensive foul by D. Garland (drawn by J. Huff),,61-65,,
8:17.0,Turnover by D. Garland (offensive foul),,61-65,,
8:09.0,,,61-68,+3,K. Brown makes 3-pt jump shot from 24 ft (assist by J. Huff)
7:52.0,D. Garland makes 2-pt layup from 2 ft,+2,63-68,,
7:39.0,,,63-68,,Shooting foul by D. Jones (drawn by P. Siakam)
7:39.0,,,63-69,+1,P. Siakam makes free throw 1 of 2
7:39.0,,,63-70,+1,P. Siakam makes free throw 2 of 2
7:27.0,K. Leonard makes 2-pt layup from 1 ft,+2,65-70,,
7:17.0,,,65-70,,Offensive foul by P. Siakam (drawn by D. Jones)
7:17.0,,,65-70,,Turnover by P. Siakam (offensive foul)
7:01.0,B. Lopez makes 2-pt jump shot from 9 ft,+2,67-70,,
6:49.0,,,67-72,+2,A. Nesmith makes 2-pt layup from 1 ft
6:38.0,B. Lopez misses 3-pt jump shot from 31 ft,,67-72,,
6:36.0,,,67-72,,Defensive rebound by A. Nesmith
6:30.0,,,67-72,,Personal foul by D. Jones (drawn by P. Siakam)
6:30.0,,,67-72,,Indiana full timeout
6:30.0,K. Dunn enters the game for D. Jones,,67-72,,
6:23.0,,,67-72,,J. Huff misses 3-pt jump shot from 24 ft
