1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Golden State
12:00.0,Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession)
1:33.0,B. Carrington makes 2-pt layup from 3 ft,+2,19-31,,
1:19.0,,,19-33,+2,P. Spencer makes 2-pt layup from 2 ft
1:07.0,B. Carrington makes 3-pt jump shot from 28 ft (assist by W. Riley),+3,22-33,,
0:44.0,,,22-36,+3,W. Richard makes 3-pt jump shot from 24 ft (assist by B. Podziemski)
0:37.0,B. Carrington misses 2-pt jump shot from 21 ft,,22-36,,
0:32.0,,,22-36,,Defensive rebound by O. Yurtseven
0:29.0,,,22-36,,Personal foul by S. Cooper (drawn by G. Santos)
0:29.0,L. Black enters the game for A. Gill,,22-36,,
0:29.0,,,22-36,,K. PorziÅÄ£is enters the game for O. Yurtseven
0:29.0,,,22-37,+1,G. Santos makes free throw 1 of 2
0:29.0,,,22-38,+1,G. Santos makes free throw 2 of 2
0:11.0,S. Cooper makes 2-pt jump shot from 2 ft,+2,24-38,,
0:11.0,Shooting foul by P. Spencer (drawn by S. Cooper),,24-38,,
0:11.0,,,24-38,,L. Cryer enters the game for G. Santos
0:11.0,S. Cooper makes free throw 1 of 1,+1,25-38,,
0:03.0,,,25-38,,L. Cryer misses 3-pt jump shot from 27 ft
0:01.0,,,25-38,,Offensive rebound by P. Spencer
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Washington,,Score,,Golden State
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:38.0,,,25-38,,Turnover by G. Payton (bad pass)
11:21.0,J. Watkins makes 3-pt jump shot from 29 ft (assist by A. Gill),+3,28-38,,
11:09.0,,,28-38,,G. Payton misses 2-pt layup from 1 ft
11:06.0,Defensive rebound by W. Riley,,28-38,,
11:01.0,J. Champagnie makes 2-pt layup from 2 ft (assist by W. Riley),+2,30-38,,
10:38.0,,,30-40,+2,P. Spencer makes 2-pt jump shot from 14 ft
10:26.0,J. Champagnie makes 2-pt layup from 2 ft (assist by A. Gill),+2,32-40,,
10:10.0,,,32-40,,P. Spencer misses 2-pt jump shot from 9 ft
10:09.0,,,32-40,,Offensive rebound by G. Santos
10:09.0,,,32-42,+2,G. Santos makes 2-pt layup from 1 ft
9:50.0,W. Riley makes 2-pt layup at rim,+2,34-42,,
9:50.0,,,34-42,,Golden State full timeout
9:35.0,,,34-44,+2,G. Santos makes 2-pt layup from 2 ft (assist by D. Green)
9:35.0,Violation by Team (def goaltending),,34-44,,
9:20.0,L. Black misses 2-pt jump shot from 7 ft (block by G. Payton),,34-44,,
9:19.0,Offensive rebound by Team,,34-44,,
9:19.0,,,34-44,,Loose ball foul by P. Spencer (drawn by J. Champagnie)
9:07.0,W. Riley makes 2-pt layup from 1 ft,+2,36-44,,
8:59.0,,,36-46,+2,G. Payton makes 2-pt layup from 2 ft (assist by G. Santos)
8:42.0,A. Gill makes 2-pt layup from 2 ft (assist by W. Riley),+2,38-46,,
8:29.0,,,38-46,,Turnover by G. Santos (bad pass; steal by A. Gill)
8:21.0,L. Black makes 2-pt layup from 2 ft (assist by J. Champagnie),+2,40-46,,
7:59.0,,,40-46,,L. Cryer misses 3-pt jump shot from 27 ft
7:57.0,Defensive rebound by J. Watkins,,40-46,,
7:43.0,J. Champagnie misses 3-pt jump shot from 28 ft,,40-46,,
7:39.0,,,40-46,,Defensive rebound by P. Spencer
7:32.0,,,40-49,+3,G. Santos makes 3-pt jump shot from 27 ft (assist by L. Cryer)
7:23.0,Personal foul by G. Payton (drawn by J. Watkins),,40-49,,
7:23.0,T. Johnson enters the game for J. Champagnie,,40-49,,
7:23.0,A. Sarr enters the game for A. Gill,,40-49,,
7:23.0,,,40-49,,M. Leons enters the game for L. Cryer
7:23.0,,,40-49,,B. Podziemski enters the game for D. Green
7:23.0,,,40-49,,K. PorziÅÄ£is enters the game for G. Payton
7:23.0,,,40-49,,W. Richard enters the game for G. Santos
7:15.0,A. Sarr misses 3-pt jump shot from 27 ft,,40-49,,
7:14.0,,,40-49,,Defensive rebound by Team
6:58.0,,,40-52,+3,W. Richard makes 3-pt jump shot from 23 ft (assist by B. Podziemski)
6:42.0,Turnover by W. Riley (out of bounds lost ball),,40-52,,
6:28.0,,,40-52,,M. Leons misses 2-pt layup from 3 ft
6:26.0,Defensive rebound by J. Watkins,,40-52,,
6:22.0,L. Black misses 3-pt jump shot from 24 ft,,40-52,,
6:18.0,,,40-52,,Defensive rebound by K. PorziÅÄ£is
