1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
11:25.0,P. Achiuwa makes 2-pt jump shot from 8 ft,+2,32-27,,
11:05.0,,,32-27,,C. McCollum misses 2-pt jump shot from 4 ft
11:02.0,,,32-27,,Offensive rebound by C. McCollum
11:00.0,,,32-29,+2,Z. Risacher makes 2-pt jump shot from 9 ft (assist by C. McCollum)
10:41.0,D. DeRozan misses 2-pt jump shot from 13 ft,,32-29,,
10:39.0,,,32-29,,Defensive rebound by G. Vincent
10:32.0,,,32-29,,G. Vincent misses 2-pt jump shot from 15 ft
10:28.0,Defensive rebound by D. Jeffries,,32-29,,
10:21.0,Offensive foul by D. DeRozan (drawn by G. Vincent),,32-29,,
10:21.0,Turnover by D. DeRozan (offensive foul),,32-29,,
10:21.0,D. Carter enters the game for K. Hayes,,32-29,,
10:08.0,,,32-31,+2,C. McCollum makes 2-pt jump shot from 10 ft (assist by C. Koloko)
9:53.0,Personal foul by G. Vincent (drawn by P. Achiuwa),,32-31,,
9:45.0,D. Plowden misses 3-pt jump shot from 25 ft,,32-31,,
9:41.0,Offensive rebound by D. DeRozan,,32-31,,
9:34.0,P. Achiuwa makes 2-pt layup from 2 ft,+2,34-31,,
9:26.0,,,34-31,,Turnover by G. Vincent (bad pass; steal by P. Achiuwa)
9:21.0,D. DeRozan makes 2-pt layup from 1 ft (assist by P. Achiuwa),+2,36-31,,
9:12.0,,,36-31,,C. McCollum misses 3-pt jump shot from 27 ft
9:10.0,Defensive rebound by D. Carter,,36-31,,
9:05.0,D. Plowden makes 2-pt dunk from 1 ft (assist by D. Carter),+2,38-31,,
9:05.0,,,38-31,,Atlanta full timeout
9:05.0,,,38-31,,N. Alexander-Walker enters the game for C. Koloko
9:05.0,,,38-31,,J. Johnson enters the game for C. McCollum
9:05.0,,,38-31,,J. Landale enters the game for G. Vincent
8:42.0,,,38-31,,N. Alexander-Walker misses 3-pt jump shot from 26 ft
8:39.0,,,38-31,,Offensive rebound by J. Landale
8:38.0,,,38-33,+2,C. Kispert makes 2-pt layup from 1 ft (assist by J. Johnson)
8:11.0,D. DeRozan misses 2-pt jump shot from 19 ft,,38-33,,
8:06.0,Offensive rebound by P. Achiuwa,,38-33,,
8:06.0,P. Achiuwa makes 2-pt layup at rim,+2,40-33,,
