1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Denver
12:00.0,Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession),Jump ball: K. Filipowski vs. N. JokiÄ (A. Gordon gains possession)
8:47.0,,,73-71,+2,N. JokiÄ makes 2-pt layup from 1 ft (assist by J. Murray)
8:27.0,K. Filipowski makes 2-pt layup from 2 ft (assist by B. Sensabaugh),+2,75-71,,
8:16.0,,,75-71,,Turnover by N. JokiÄ (lost ball; steal by E. Harkless)
8:12.0,C. Williams makes 2-pt dunk from 1 ft (assist by K. Filipowski),+2,77-71,,
8:11.0,,,77-71,,Denver full timeout
7:50.0,,,77-71,,J. Murray misses 2-pt jump shot from 15 ft
7:47.0,Defensive rebound by K. Filipowski,,77-71,,
7:40.0,K. Filipowski makes 2-pt dunk at rim,+2,79-71,,
7:26.0,,,79-73,+2,N. JokiÄ makes 2-pt jump shot from 7 ft (assist by J. Murray)
7:10.0,Turnover by B. Sensabaugh (bad pass; steal by N. JokiÄ),,79-73,,
7:07.0,,,79-73,,Turnover by N. JokiÄ (bad pass; steal by J. Konchar)
6:59.0,C. Williams makes 2-pt layup from 2 ft (assist by J. Konchar),+2,81-73,,
6:45.0,,,81-73,,Turnover by N. JokiÄ (bad pass; steal by B. Sensabaugh)
6:39.0,E. Harkless misses 3-pt jump shot from 24 ft,,81-73,,
6:37.0,Offensive rebound by J. Konchar,,81-73,,
6:37.0,J. Konchar makes 2-pt layup at rim,+2,83-73,,
6:37.0,,,83-73,,Denver full timeout
6:37.0,K. Chandler enters the game for K. Filipowski,,83-73,,
6:37.0,B. Mbeng enters the game for E. Harkless,,83-73,,
6:37.0,O. Tshiebwe enters the game for B. Sensabaugh,,83-73,,
6:37.0,,,83-73,,T. Hardaway enters the game for C. Johnson
6:28.0,,,83-73,,A. Gordon misses 3-pt jump shot from 23 ft
6:23.0,Defensive rebound by O. Tshiebwe,,83-73,,
6:11.0,K. Chandler makes 2-pt jump shot from 8 ft,+2,85-73,,
6:00.0,,,85-75,+2,J. Murray makes 2-pt jump shot from 11 ft
5:47.0,K. Chandler misses 2-pt jump shot from 8 ft (block by C. Braun),,85-75,,
5:44.0,,,85-75,,Defensive rebound by A. Gordon
5:35.0,,,85-75,,Turnover by J. Murray (bad pass; steal by C. Williams)
5:31.0,K. Chandler makes 2-pt layup from 2 ft (assist by J. Konchar),+2,87-75,,
5:12.0,,,87-75,,Shooting foul by O. Tshiebwe (drawn by A. Gordon)
5:12.0,,,87-76,+1,A. Gordon makes free throw 1 of 2
5:12.0,,,87-76,,P. Watson enters the game for C. Braun
5:12.0,,,87-77,+1,A. Gordon makes free throw 2 of 2
4:53.0,K. Chandler misses 3-pt jump shot from 23 ft,,87-77,,
4:49.0,,,87-77,,Defensive rebound by N. JokiÄ
4:46.0,,,87-80,+3,T. Hardaway makes 3-pt jump shot from 26 ft (assist by N. JokiÄ)
4:21.0,Shooting foul by A. Gordon (drawn by C. Williams),,87-80,,
4:21.0,C. Williams makes free throw 1 of 2,+1,88-80,,
4:21.0,,,88-80,,S. Jones enters the game for A. Gordon
4:21.0,C. Williams makes free throw 2 of 2,+1,89-80,,
4:09.0,,,89-80,,Shooting foul by K. Chandler (drawn by J. Murray)
4:09.0,,,89-81,+1,J. Murray makes free throw 1 of 2
4:09.0,,,89-82,+1,J. Murray makes free throw 2 of 2
3:57.0,J. Konchar makes 2-pt layup from 2 ft (assist by K. Chandler),+2,91-82,,
3:43.0,,,91-82,,J. Murray misses 2-pt jump shot from 11 ft
