style,tip
top:60px;left:485px;,"3rd quarter, 0:31.0 remaining<br>Kennedy Chandler made 3-pointer from 25 ft<br>Utah now leads 103-95"
top:28px;left:217px;,"4th quarter, 11:23.0 remaining<br>Bez Mbeng missed 2-pointer from 2 ft<br>Utah leads 105-98"
top:148px;left:304px;,"4th quarter, 10:51.0 remaining<br>Kennedy Chandler made 2-pointer from 13 ft<br>Utah now leads 107-98"
top:249px;left:405px;,"4th quarter, 9:48.0 remaining<br>Elijah Harkless missed 3-pointer from 27 ft<br>Utah leads 107-98"
top:154px;left:258px;,"4th quarter, 9:39.0 remaining<br>Elijah Harkless missed 2-pointer from 13 ft<br>Utah leads 107-98"
top:198px;left:428px;,"4th quarter, 9:23.0 remaining<br>Ace Bailey missed 3-pointer from 25 ft<br>Utah leads 107-98"
top:93px;left:467px;,"4th quarter, 8:52.0 remaining<br>Elijah Harkless made 3-pointer from 24 ft<br>Utah now leads 110-101"
top:64px;left:290px;,"4th quarter, 8:27.0 remaining<br>Elijah Harkless missed 2-pointer from 6 ft<br>Utah leads 110-101"
top:54px;left:259px;,"4th quarter, 8:03.0 remaining<br>Elijah Harkless made 2-pointer from 3 ft<br>Utah now leads 112-104"
top:131px;left:207px;,"4th quarter, 7:34.0 remaining<br>Ace Bailey made 2-pointer from 11 ft<br>Utah now leads 114-106"
top:226px;left:72px;,"4th quarter, 7:16.0 remaining<br>Ace Bailey made 3-pointer from 26 ft<br>Utah now leads 117-106"
top:159px;left:283px;,"4th quarter, 6:49.0 remaining<br>Elijah Harkless made 2-pointer from 14 ft<br>Utah now leads 119-107"
top:213px;left:415px;,"4th quarter, 6:24.0 remaining<br>Ace Bailey missed 3-pointer from 25 ft<br>Utah leads 120-109"
top:36px;left:252px;,"4th quarter, 5:52.0 remaining<br>Cody Williams made 2-pointer from 1 ft<br>Utah now leads 122-112"
top:57px;left:252px;,"4th quarter, 5:29.0 remaining<br>Cody Williams made 2-pointer from 3 ft<br>Utah now leads 124-114"
top:43px;left:220px;,"4th quarter, 4:39.0 remaining<br>Elijah Harkless missed 2-pointer from 2 ft<br>Utah leads 124-119"
top:283px;left:346px;,"4th quarter, 4:34.0 remaining<br>Kennedy Chandler missed 3-pointer from 27 ft<br>Utah leads 124-119"
top:69px;left:423px;,"4th quarter, 3:46.0 remaining<br>Ace Bailey made 2-pointer from 19 ft<br>Utah now leads 126-121"
top:45px;left:12px;,"4th quarter, 3:12.0 remaining<br>John Konchar missed 3-pointer from 23 ft<br>Utah leads 126-121"
top:65px;left:101px;,"4th quarter, 2:37.0 remaining<br>Ace Bailey missed 2-pointer from 14 ft<br>Utah leads 126-123"
top:279px;left:379px;,"4th quarter, 1:58.0 remaining<br>Elijah Harkless missed 3-pointer from 29 ft<br>Utah tied 126-126"
top:253px;left:376px;,"4th quarter, 1:07.0 remaining<br>Elijah Harkless made 3-pointer from 26 ft<br>Utah now tied 129-129"
top:358px;left:335px;,"4th quarter, 0:16.0 remaining<br>Ace Bailey missed 3-pointer from 34 ft<br>Utah trails 129-135"
