1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Detroit,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Minnesota
12:00.0,Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession),Jump ball: J. Duren vs. R. Gobert (D. Jenkins gains possession)
4:25.0,,,66-53,,Turnover by Team (shot clock)
4:15.0,Turnover by J. Duren (out of bounds lost ball),,66-53,,
4:00.0,,,66-53,,N. Reid misses 2-pt jump shot from 3 ft (block by C. LeVert)
3:59.0,,,66-53,,Offensive rebound by N. Reid
3:59.0,,,66-55,+2,N. Reid makes 2-pt layup from 2 ft
3:59.0,,,66-55,,Shooting foul by J. Duren (drawn by N. Reid)
3:59.0,,,66-55,,T. Shannon enters the game for D. DiVincenzo
3:59.0,,,66-55,,N. Reid misses free throw 1 of 1
3:57.0,Defensive rebound by J. Duren,,66-55,,
3:35.0,C. LeVert misses 3-pt jump shot from 25 ft,,66-55,,
3:34.0,Offensive rebound by Team,,66-55,,
3:34.0,,,66-55,,Loose ball foul by R. Gobert (drawn by J. Duren)
3:34.0,R. Holland enters the game for T. Harris,,66-55,,
3:34.0,M. Sasser enters the game for D. Jenkins,,66-55,,
3:34.0,,,66-55,,J. Randle enters the game for R. Gobert
3:20.0,R. Holland makes 3-pt jump shot from 24 ft (assist by M. Sasser),+3,69-55,,
3:06.0,,,69-55,,Shooting foul by C. LeVert (drawn by J. Randle)
3:06.0,,,69-56,+1,J. Randle makes free throw 1 of 2
3:06.0,,,69-57,+1,J. Randle makes free throw 2 of 2
2:49.0,R. Holland makes 2-pt dunk from 1 ft (assist by C. LeVert),+2,71-57,,
2:28.0,,,71-57,,Shooting foul by J. Duren (drawn by J. Randle)
2:28.0,Detroit full timeout,,71-57,,
2:28.0,P. Reed enters the game for J. Duren,,71-57,,
2:28.0,,,71-58,+1,J. Randle makes free throw 1 of 2
2:28.0,,,71-59,+1,J. Randle makes free throw 2 of 2
2:13.0,Turnover by M. Sasser (bad pass),,71-59,,
1:58.0,,,71-59,,Turnover by K. Anderson (bad pass; steal by R. Holland)
1:55.0,Shooting foul by N. Reid (drawn by R. Holland),,71-59,,
1:55.0,R. Holland misses free throw 1 of 2,,71-59,,
1:55.0,Offensive rebound by Team,,71-59,,
1:55.0,R. Holland makes free throw 2 of 2,+1,72-59,,
1:30.0,,,72-59,,J. Randle misses 2-pt hook shot from 6 ft
1:27.0,Defensive rebound by C. LeVert,,72-59,,
1:23.0,K. Huerter misses 3-pt jump shot from 26 ft,,72-59,,
1:20.0,,,72-59,,Defensive rebound by K. Anderson
1:18.0,,,72-59,,Shooting foul by C. LeVert (drawn by T. Shannon)
