1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Boston,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Charlotte
12:00.0,Jump ball: N. Queta vs. M. Diabat̩ (J. Walsh gains possession),Jump ball: N. Queta vs. M. Diabat̩ (J. Walsh gains possession),Jump ball: N. Queta vs. M. Diabat̩ (J. Walsh gains possession),Jump ball: N. Queta vs. M. Diabat̩ (J. Walsh gains possession),Jump ball: N. Queta vs. M. Diabat̩ (J. Walsh gains possession)
0:00.0,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter,End of 1st quarter
2nd Q,2nd Q,2nd Q,2nd Q,2nd Q,2nd Q
Time,Boston,,Score,,Charlotte
12:00.0,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter,Start of 2nd quarter
11:43.0,,,27-21,,Turnover by L. Ball (bad pass)
11:24.0,B. Scheierman makes 3-pt jump shot from 27 ft (assist by J. Walsh),+3,30-21,,
11:11.0,,,30-21,,K. Knueppel misses 3-pt jump shot from 27 ft
11:09.0,Defensive rebound by R. Harper,,30-21,,
10:56.0,J. Tatum makes 3-pt jump shot from 27 ft,+3,33-21,,
10:49.0,,,33-21,,Personal foul by B. Scheierman (drawn by L. Ball)
10:46.0,,,33-21,,L. McNeeley misses 2-pt layup from 7 ft
10:44.0,Defensive rebound by R. Harper,,33-21,,
10:35.0,J. Walsh misses 3-pt jump shot from 23 ft,,33-21,,
10:32.0,,,33-21,,Defensive rebound by L. McNeeley
10:26.0,,,33-21,,Personal foul by J. Walsh (drawn by L. Ball)
10:26.0,,,33-21,,B. Miller enters the game for K. Knueppel
10:14.0,,,33-21,,L. Ball misses 3-pt jump shot from 29 ft
10:10.0,,,33-21,,Offensive rebound by L. McNeeley
10:09.0,,,33-21,,B. Miller misses 3-pt jump shot from 26 ft
10:06.0,Defensive rebound by J. Tatum,,33-21,,
9:53.0,Shooting foul by L. Ball (drawn by J. Tatum),,33-21,,
9:53.0,J. Tatum misses free throw 1 of 3,,33-21,,
9:53.0,Offensive rebound by Team,,33-21,,
9:53.0,J. Tatum misses free throw 2 of 3,,33-21,,
9:53.0,Offensive rebound by Team,,33-21,,
9:53.0,J. Tatum makes free throw 3 of 3,+1,34-21,,
9:45.0,,,34-21,,M. Bridges misses 3-pt jump shot from 26 ft
9:42.0,Defensive rebound by J. Walsh,,34-21,,
9:37.0,R. Harper makes 3-pt jump shot from 26 ft (assist by L. Garza),+3,37-21,,
9:35.0,,,37-21,,Charlotte full timeout
9:35.0,,,37-21,,K. Knueppel enters the game for L. McNeeley
9:16.0,,,37-23,+2,B. Miller makes 2-pt layup from 4 ft
9:03.0,Turnover by B. Scheierman (lost ball; steal by L. Ball),,37-23,,
8:54.0,,,37-25,+2,M. Bridges makes 2-pt layup from 4 ft (assist by B. Miller)
8:36.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by B. Scheierman),+3,40-25,,
8:19.0,,,40-25,,Shooting foul by J. Tatum (drawn by M. Bridges)
8:19.0,,,40-26,+1,M. Bridges makes free throw 1 of 2
8:19.0,,,40-27,+1,M. Bridges makes free throw 2 of 2
8:04.0,Personal foul by B. Miller (drawn by B. Scheierman),,40-27,,
8:04.0,,,40-27,,S. James enters the game for L. Ball
8:03.0,J. Walsh makes 2-pt layup from 4 ft (assist by J. Tatum),+2,42-27,,
8:03.0,Shooting foul by S. James (drawn by J. Walsh),,42-27,,
8:03.0,J. Walsh makes free throw 1 of 1,+1,43-27,,
7:47.0,,,43-29,+2,M. Bridges makes 2-pt jump shot from 7 ft (assist by K. Knueppel)
7:28.0,B. Scheierman misses 2-pt jump shot from 9 ft,,43-29,,
7:25.0,,,43-29,,Defensive rebound by B. Miller
7:19.0,,,43-29,,M. Bridges misses 2-pt hook shot from 6 ft
7:16.0,Defensive rebound by J. Tatum,,43-29,,
7:12.0,B. Scheierman makes 3-pt jump shot from 23 ft (assist by J. Walsh),+3,46-29,,
7:06.0,,,46-29,,Shooting foul by R. Harper (drawn by K. Knueppel)
7:06.0,,,46-30,+1,K. Knueppel makes free throw 1 of 2
7:06.0,S. Hauser enters the game for R. Harper,,46-30,,
7:06.0,P. Pritchard enters the game for J. Tatum,,46-30,,
