date,home_team,away_team,winning_team,home_pts,home_fg,home_fga,home_fg_pct,home_fg3,home_fg3a,home_fg3_pct,home_fg2,home_fg2a,home_fg2_pct,home_ft,home_fta,home_ft_pct,home_orb,home_drb,home_trb,home_ast,home_stl,home_blk,home_tov,home_pf,home_ortg,home_drtg,home_pace,home_ftr,home_3ptar,home_ts,home_trb_pct,home_ast_pct,home_stl_pct,home_blk_pct,home_efg_pct,home_tov_pct,home_orb_pct,home_ft_rate,home_ast_tov,home_ast_ratio,home_elo,away_pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_fg2,away_fg2a,away_fg2_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_ortg,away_drtg,away_pace,away_ftr,away_3ptar,away_ts,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_efg_pct,away_tov_pct,away_orb_pct,away_ft_rate,away_ast_tov,away_ast_ratio,away_elo
2000-11-04,New Jersey Nets,Charlotte Hornets,1,82.0,31.0,85.0,0.36,3.0,10.0,0.3,28.0,75.0,0.37,17.0,26.0,0.65,12.0,35.0,47.0,24.0,9.0,8.0,15.0,31.0,84.0,88.0,97.7,0.31,0.12,0.42,52.5,77.4,9.2,11.3,0.38,13.5,22.6,0.2,1.6,0.34,1480.93,100.09,33.37,64.45,0.52,3.98,9.0,0.44,29.39,55.45,0.54,29.37,38.37,0.76,7.82,33.94,41.76,17.02,7.41,6.0,16.8,23.41,112.72,95.18,88.91,0.6,0.14,0.62,42.25,52.24,8.31,9.39,0.56,17.15,27.51,0.46,1.02,0.26,1499.68
2000-11-04,Milwaukee Bucks,Detroit Pistons,0,93.0,33.0,83.0,0.4,6.0,19.0,0.32,27.0,64.0,0.42,21.0,26.0,0.81,17.0,34.0,51.0,16.0,6.0,7.0,20.0,27.0,97.6,101.8,95.3,0.31,0.23,0.49,50.5,48.5,6.3,11.1,0.43,17.5,34.7,0.25,0.8,0.23,1486.88,99.72,41.76,92.8,0.45,3.82,13.83,0.27,37.94,78.96,0.48,12.39,17.18,0.72,12.22,33.8,46.02,20.39,6.39,5.39,14.24,27.2,102.46,99.25,97.34,0.19,0.15,0.5,50.5,49.09,6.57,7.27,0.47,12.31,29.38,0.13,1.55,0.26,1500.46
2000-11-04,Denver Nuggets,Phoenix Suns,1,99.0,39.0,88.0,0.44,7.0,25.0,0.28,32.0,63.0,0.51,14.0,26.0,0.54,11.0,22.0,33.0,20.0,11.0,5.0,13.0,26.0,98.4,111.3,100.6,0.3,0.28,0.5,58.8,51.3,10.9,7.5,0.48,11.6,22.9,0.16,1.54,0.28,1477.48,94.0,36.0,91.0,0.4,6.0,21.0,0.29,30.0,70.0,0.43,16.0,20.0,0.8,11.0,33.0,44.0,25.0,12.0,3.0,16.0,28.0,92.7,94.7,101.4,0.22,0.23,0.47,55.6,69.4,11.8,4.2,0.43,13.8,21.2,0.18,1.56,0.32,1491.05
2000-11-04,Seattle SuperSonics,Portland Trail Blazers,1,88.0,32.0,84.0,0.38,8.0,23.0,0.35,24.0,61.0,0.39,16.0,22.0,0.73,14.0,38.0,52.0,20.0,5.0,9.0,19.0,25.0,91.1,97.3,96.6,0.26,0.27,0.47,49.5,62.5,5.2,11.8,0.43,16.9,27.5,0.19,1.05,0.28,1484.14,86.0,34.0,85.0,0.4,4.0,11.0,0.36,30.0,74.0,0.4,14.0,16.0,0.88,13.0,19.0,32.0,18.0,13.0,1.0,10.0,28.0,100.2,111.8,85.9,0.19,0.13,0.47,54.9,52.9,15.1,1.9,0.42,9.8,29.5,0.16,1.8,0.29,1471.59
2000-11-04,Golden State Warriors,San Antonio Spurs,1,96.0,32.0,79.0,0.4,4.0,8.0,0.5,28.0,71.0,0.39,28.0,38.0,0.74,14.0,41.0,55.0,18.0,11.0,5.0,21.0,22.0,94.7,92.7,101.4,0.48,0.1,0.5,44.4,56.3,10.8,7.1,0.43,18.0,29.8,0.35,0.86,0.25,1508.95,98.0,33.0,64.0,0.52,4.0,8.0,0.5,29.0,56.0,0.52,28.0,35.0,0.8,5.0,32.0,37.0,17.0,6.0,4.0,18.0,22.0,107.4,93.1,91.3,0.55,0.12,0.62,48.6,51.5,6.6,6.3,0.55,18.5,16.1,0.44,0.94,0.25,1521.51
2000-11-04,Los Angeles Clippers,Houston Rockets,0,94.0,34.0,69.0,0.49,4.0,13.0,0.31,30.0,56.0,0.54,22.0,34.0,0.65,12.0,32.0,44.0,18.0,3.0,6.0,24.0,32.0,98.3,111.9,95.6,0.49,0.19,0.56,42.9,52.9,3.1,8.0,0.52,22.2,35.3,0.32,0.75,0.24,1478.49,98.0,34.0,74.0,0.46,2.0,9.0,0.22,32.0,65.0,0.49,28.0,40.0,0.7,11.0,27.0,38.0,18.0,9.0,7.0,18.0,17.0,102.3,110.7,95.8,0.54,0.12,0.54,53.7,52.9,9.4,9.1,0.47,16.4,26.2,0.38,1.0,0.26,1473.96
2000-11-05,Phoenix Suns,Houston Rockets,0,96.85,37.02,89.17,0.42,6.41,20.59,0.31,30.61,68.57,0.45,16.41,20.61,0.8,11.2,31.17,42.37,25.61,12.41,3.41,16.2,27.18,97.63,93.5,99.57,0.23,0.23,0.49,54.46,69.18,12.49,5.2,0.45,14.17,23.32,0.18,1.58,0.32,1515.93,101.47,34.82,74.2,0.47,4.04,12.67,0.27,30.78,61.53,0.5,27.8,38.37,0.73,10.59,27.0,37.59,18.61,8.18,6.8,17.39,19.65,107.29,109.05,94.76,0.52,0.17,0.56,53.09,53.39,8.6,9.1,0.5,15.99,26.1,0.37,1.08,0.26,1500.5
2000-11-05,Los Angeles Lakers,Los Angeles Clippers,0,95.18,35.59,66.26,0.54,4.59,11.41,0.41,31.0,54.85,0.57,19.41,30.82,0.63,9.22,29.78,39.0,25.76,5.0,7.59,18.57,20.24,109.84,101.73,86.74,0.47,0.17,0.6,45.98,72.13,5.76,10.74,0.58,19.05,29.91,0.29,1.38,0.32,1506.91,93.39,34.82,71.04,0.49,3.59,13.41,0.27,31.22,57.63,0.54,20.17,31.15,0.65,12.61,31.39,44.0,18.61,3.82,5.8,23.18,29.55,98.83,111.47,94.5,0.44,0.19,0.55,43.86,53.39,4.06,7.76,0.52,21.47,36.36,0.29,0.81,0.25,1455.17
2000-11-06,Orlando Magic,Seattle SuperSonics,0,91.69,32.94,80.08,0.41,4.79,15.41,0.3,28.15,64.67,0.44,21.03,31.79,0.66,9.66,30.07,39.73,17.74,9.4,8.41,17.87,25.22,92.16,89.22,99.69,0.4,0.19,0.49,53.03,53.54,9.48,12.92,0.44,15.8,21.21,0.26,1.1,0.26,1471.28,92.89,34.45,82.98,0.42,7.39,20.76,0.36,27.06,62.22,0.43,16.61,22.41,0.74,13.18,37.8,50.98,21.43,5.41,7.98,20.22,24.59,95.22,97.52,97.42,0.27,0.25,0.5,47.83,62.28,5.57,10.68,0.46,17.9,28.27,0.2,1.06,0.28,1506.66
2000-11-06,Denver Nuggets,Dallas Mavericks,1,99.41,37.57,86.17,0.44,7.0,22.96,0.32,30.57,63.2,0.48,17.26,28.45,0.59,10.59,24.24,34.83,20.61,9.57,5.82,13.2,25.59,99.01,108.47,100.4,0.33,0.26,0.5,57.98,55.5,9.49,8.17,0.48,11.84,22.41,0.2,1.56,0.29,1491.82,96.39,35.0,85.35,0.41,8.39,22.96,0.37,26.61,62.39,0.43,18.0,25.78,0.71,17.55,30.37,47.92,21.18,8.8,8.59,17.18,25.59,102.84,98.09,93.81,0.3,0.27,0.5,50.74,60.56,9.34,13.88,0.46,15.1,33.98,0.21,1.23,0.29,1526.93
2000-11-06,Utah Jazz,Minnesota Timberwolves,0,104.96,40.96,81.13,0.5,4.8,9.8,0.49,36.17,71.33,0.51,18.24,32.43,0.56,10.18,23.83,34.02,30.76,9.78,4.2,12.82,30.2,111.04,99.1,94.46,0.41,0.12,0.55,55.78,74.66,10.3,7.2,0.53,11.9,24.85,0.23,2.47,0.37,1543.02,102.94,42.39,87.8,0.48,4.98,9.57,0.48,37.41,78.22,0.48,13.18,15.8,0.83,13.2,29.37,42.57,27.37,7.0,2.22,15.59,25.2,108.4,104.38,94.94,0.18,0.11,0.54,47.71,64.36,7.36,3.31,0.51,14.11,32.21,0.15,1.75,0.32,1504.85
2000-11-06,Vancouver Grizzlies,Atlanta Hawks,0,95.02,38.39,89.39,0.43,4.2,13.8,0.31,34.18,75.59,0.45,14.04,25.8,0.55,14.82,33.94,48.76,26.98,12.0,5.18,11.82,21.41,99.85,93.1,95.3,0.29,0.15,0.47,50.89,70.19,12.58,8.43,0.45,10.51,29.22,0.16,2.34,0.35,1539.18,79.35,29.18,80.39,0.36,5.59,15.0,0.37,23.59,65.39,0.36,15.39,19.78,0.78,11.61,19.63,31.24,15.22,8.39,1.8,13.82,28.96,90.27,117.8,87.87,0.25,0.19,0.44,57.67,52.86,9.55,3.39,0.4,13.44,24.18,0.19,1.1,0.26,1435.13
