date,home_team,away_team,winning_team
2000-11-29,Detroit Pistons,New Jersey Nets,0
2000-11-29,Orlando Magic,Utah Jazz,1
2000-11-29,Minnesota Timberwolves,Denver Nuggets,1
2000-11-29,New York Knicks,Miami Heat,1
2000-11-29,San Antonio Spurs,Sacramento Kings,0
2000-11-29,Vancouver Grizzlies,Phoenix Suns,0
2000-11-29,Los Angeles Clippers,Golden State Warriors,0
2000-11-30,Atlanta Hawks,Chicago Bulls,1
2000-11-30,Milwaukee Bucks,Boston Celtics,0
2000-11-30,Denver Nuggets,Houston Rockets,1
2000-11-30,Portland Trail Blazers,Dallas Mavericks,0
2000-11-30,Seattle SuperSonics,Los Angeles Lakers,0
2000-11-30,Golden State Warriors,Indiana Pacers,0
2000-12-01,Philadelphia 76ers,Charlotte Hornets,0
2000-12-01,Toronto Raptors,Los Angeles Clippers,0
2000-12-01,Boston Celtics,Minnesota Timberwolves,1
2000-12-01,Miami Heat,Utah Jazz,1
2000-12-01,Orlando Magic,New Jersey Nets,0
2000-12-01,Detroit Pistons,Cleveland Cavaliers,0
2000-12-01,Chicago Bulls,New York Knicks,1
2000-12-01,Vancouver Grizzlies,Indiana Pacers,1
2000-12-01,Los Angeles Lakers,San Antonio Spurs,0
2000-12-01,Sacramento Kings,Phoenix Suns,0
2000-12-02,Atlanta Hawks,Milwaukee Bucks,0
2000-12-02,Charlotte Hornets,Utah Jazz,0
2000-12-02,Cleveland Cavaliers,Philadelphia 76ers,1
2000-12-02,New Jersey Nets,Orlando Magic,1
2000-12-02,New York Knicks,Minnesota Timberwolves,0
2000-12-02,Washington Wizards,Miami Heat,1
2000-12-02,Houston Rockets,Portland Trail Blazers,1
2000-12-02,Denver Nuggets,Seattle SuperSonics,0
2000-12-02,Golden State Warriors,Dallas Mavericks,1
2000-12-03,Boston Celtics,Los Angeles Clippers,0
2000-12-03,Milwaukee Bucks,Indiana Pacers,0
2000-12-03,Vancouver Grizzlies,San Antonio Spurs,1
2000-12-03,Detroit Pistons,Washington Wizards,0
2000-12-03,Phoenix Suns,Portland Trail Blazers,0
2000-12-03,Seattle SuperSonics,Golden State Warriors,0
2000-12-03,Los Angeles Lakers,Dallas Mavericks,0
2000-12-04,New York Knicks,Los Angeles Clippers,0
2000-12-04,Denver Nuggets,Philadelphia 76ers,0
2000-12-05,Indiana Pacers,New Jersey Nets,0
2000-12-05,Atlanta Hawks,Miami Heat,1
2000-12-05,Cleveland Cavaliers,Charlotte Hornets,0
2000-12-05,Orlando Magic,Boston Celtics,0
2000-12-05,Minnesota Timberwolves,Chicago Bulls,0
2000-12-05,Sacramento Kings,San Antonio Spurs,0
2000-12-05,Houston Rockets,Dallas Mavericks,0
2000-12-05,Utah Jazz,Toronto Raptors,0
2000-12-05,Vancouver Grizzlies,Detroit Pistons,0
2000-12-05,Los Angeles Lakers,Philadelphia 76ers,0
2000-12-06,Washington Wizards,Los Angeles Clippers,1
2000-12-06,Charlotte Hornets,Indiana Pacers,0
2000-12-06,Miami Heat,Denver Nuggets,0
2000-12-06,New Jersey Nets,Milwaukee Bucks,1
2000-12-06,Chicago Bulls,Cleveland Cavaliers,1
2000-12-06,Dallas Mavericks,New York Knicks,0
2000-12-06,Portland Trail Blazers,Toronto Raptors,0
2000-12-06,Seattle SuperSonics,Detroit Pistons,1
2000-12-06,Golden State Warriors,Los Angeles Lakers,0
2000-12-07,Orlando Magic,Denver Nuggets,0
2000-12-07,Milwaukee Bucks,Phoenix Suns,1
2000-12-07,Minnesota Timberwolves,Washington Wizards,0
2000-12-07,San Antonio Spurs,New York Knicks,1
2000-12-07,Utah Jazz,Vancouver Grizzlies,0
2000-12-08,Boston Celtics,Indiana Pacers,1
2000-12-08,Charlotte Hornets,Los Angeles Clippers,0
2000-12-08,Miami Heat,Atlanta Hawks,0
2000-12-08,New Jersey Nets,Phoenix Suns,0
2000-12-08,Dallas Mavericks,Chicago Bulls,0
2000-12-08,Portland Trail Blazers,Philadelphia 76ers,1
2000-12-08,Golden State Warriors,Toronto Raptors,1
2000-12-08,Los Angeles Lakers,Seattle SuperSonics,1
2000-12-08,Sacramento Kings,Houston Rockets,0
2000-12-09,Indiana Pacers,Charlotte Hornets,0
2000-12-09,Cleveland Cavaliers,Atlanta Hawks,0
2000-12-09,New York Knicks,Denver Nuggets,0
2000-12-09,Minnesota Timberwolves,Los Angeles Clippers,0
2000-12-09,Milwaukee Bucks,Washington Wizards,0
2000-12-09,San Antonio Spurs,Chicago Bulls,0
2000-12-09,Utah Jazz,Golden State Warriors,0
2000-12-09,Portland Trail Blazers,Detroit Pistons,0
2000-12-09,Seattle SuperSonics,Houston Rockets,1
2000-12-09,Vancouver Grizzlies,Philadelphia 76ers,1
2000-12-10,Toronto Raptors,Phoenix Suns,1
2000-12-10,Boston Celtics,Denver Nuggets,0
2000-12-10,New Jersey Nets,Dallas Mavericks,1
2000-12-10,Sacramento Kings,Miami Heat,0
2000-12-10,Los Angeles Lakers,Detroit Pistons,0
2000-12-11,Philadelphia 76ers,Minnesota Timberwolves,1
2000-12-11,Chicago Bulls,Phoenix Suns,1
2000-12-11,Utah Jazz,San Antonio Spurs,1
2000-12-11,Vancouver Grizzlies,Houston Rockets,1
2000-12-11,Los Angeles Clippers,Orlando Magic,0
2000-12-12,Toronto Raptors,Indiana Pacers,0
2000-12-12,Cleveland Cavaliers,Dallas Mavericks,0
2000-12-12,New Jersey Nets,Minnesota Timberwolves,0
2000-12-12,Atlanta Hawks,Sacramento Kings,0
2000-12-12,Denver Nuggets,Miami Heat,1
2000-12-12,Seattle SuperSonics,Orlando Magic,0
2000-12-12,Golden State Warriors,Portland Trail Blazers,1
2000-12-12,Los Angeles Lakers,Milwaukee Bucks,1
2000-12-13,Boston Celtics,Chicago Bulls,1
2000-12-13,Indiana Pacers,Dallas Mavericks,0
2000-12-13,Washington Wizards,Philadelphia 76ers,1
2000-12-13,Charlotte Hornets,Sacramento Kings,0
2000-12-13,Detroit Pistons,Atlanta Hawks,0
2000-12-13,Phoenix Suns,San Antonio Spurs,0
2000-12-13,Utah Jazz,Milwaukee Bucks,1
2000-12-13,Vancouver Grizzlies,Seattle SuperSonics,1
2000-12-13,Los Angeles Clippers,Miami Heat,1
2000-12-13,Portland Trail Blazers,Los Angeles Lakers,0
2000-12-14,Toronto Raptors,New York Knicks,0
2000-12-14,San Antonio Spurs,Denver Nuggets,1
2000-12-14,Golden State Warriors,Houston Rockets,1
2000-12-15,Indiana Pacers,Cleveland Cavaliers,1
2000-12-15,Philadelphia 76ers,Dallas Mavericks,1
2000-12-15,Washington Wizards,Charlotte Hornets,1
2000-12-15,Boston Celtics,Sacramento Kings,1
2000-12-15,New York Knicks,Utah Jazz,1
2000-12-15,Detroit Pistons,Minnesota Timberwolves,1
2000-12-15,Chicago Bulls,Atlanta Hawks,1
2000-12-15,Milwaukee Bucks,Toronto Raptors,0
2000-12-15,Phoenix Suns,Los Angeles Clippers,1
2000-12-15,Portland Trail Blazers,Orlando Magic,0
2000-12-15,Seattle SuperSonics,Miami Heat,0
2000-12-15,Los Angeles Lakers,Vancouver Grizzlies,0
2000-12-16,Atlanta Hawks,New Jersey Nets,1
2000-12-16,Charlotte Hornets,Boston Celtics,0
2000-12-16,Cleveland Cavaliers,Utah Jazz,0
2000-12-16,Minnesota Timberwolves,Indiana Pacers,0
2000-12-16,Chicago Bulls,Philadelphia 76ers,1
2000-12-16,Houston Rockets,Denver Nuggets,1
2000-12-16,San Antonio Spurs,Phoenix Suns,0
2000-12-16,Golden State Warriors,Miami Heat,1
2000-12-17,Toronto Raptors,Los Angeles Lakers,1
2000-12-17,Vancouver Grizzlies,Orlando Magic,1
2000-12-17,New York Knicks,Milwaukee Bucks,0
2000-12-17,Detroit Pistons,Dallas Mavericks,1
2000-12-17,New Jersey Nets,Sacramento Kings,1
2000-12-17,Los Angeles Clippers,Washington Wizards,1
2000-12-18,Boston Celtics,Dallas Mavericks,1
2000-12-19,Toronto Raptors,Utah Jazz,0
2000-12-19,Atlanta Hawks,New York Knicks,0
2000-12-19,Miami Heat,Los Angeles Lakers,1
2000-12-19,Chicago Bulls,Indiana Pacers,1
2000-12-19,Houston Rockets,San Antonio Spurs,1
2000-12-19,Phoenix Suns,Detroit Pistons,1
2000-12-19,Golden State Warriors,Minnesota Timberwolves,0
2000-12-19,Sacramento Kings,Washington Wizards,0
2000-12-20,Boston Celtics,New Jersey Nets,0
2000-12-20,Indiana Pacers,Toronto Raptors,1
2000-12-20,Charlotte Hornets,Miami Heat,0
2000-12-20,Dallas Mavericks,Portland Trail Blazers,0
2000-12-20,Philadelphia 76ers,Utah Jazz,1
2000-12-20,San Antonio Spurs,Cleveland Cavaliers,0
2000-12-20,Denver Nuggets,Detroit Pistons,0
2000-12-20,Seattle SuperSonics,Sacramento Kings,0
2000-12-20,Vancouver Grizzlies,Washington Wizards,0
2000-12-20,Los Angeles Clippers,Minnesota Timberwolves,0
2000-12-21,Orlando Magic,Chicago Bulls,0
2000-12-21,Milwaukee Bucks,New Jersey Nets,0
2000-12-21,New York Knicks,Boston Celtics,1
