1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
8:58.0,,,33-38,+2,R. Rupert makes 2-pt layup from 2 ft (assist by O. Prosper)
8:42.0,Turnover by M. Buzelis (out of bounds lost ball),,33-38,,
8:42.0,T. Jones enters the game for L. Miller,,33-38,,
8:42.0,,,33-38,,Memphis full timeout
8:42.0,L. Miller enters the game for T. Jones,,33-38,,
8:42.0,,,33-38,,Instant Replay (Challenge: Ruling Stands)
8:42.0,T. Jones enters the game for L. Miller,,33-38,,
8:33.0,,,33-38,,Turnover by C. Coward (bad pass; steal by J. Giddey)
8:29.0,I. Okoro makes 2-pt layup from 2 ft (assist by M. Buzelis),+2,35-38,,
8:13.0,,,35-38,,G. Jackson misses 2-pt jump shot from 6 ft (block by M. Buzelis)
8:12.0,Defensive rebound by M. Buzelis,,35-38,,
8:07.0,Shooting foul by O. Prosper (drawn by M. Buzelis),,35-38,,
8:07.0,M. Buzelis makes free throw 1 of 2,+1,36-38,,
8:07.0,,,36-38,,A. Bal enters the game for O. Prosper
8:07.0,,,36-38,,W. Clayton enters the game for R. Rupert
8:07.0,,,36-38,,J. Mashack enters the game for J. Small
8:07.0,M. Buzelis misses free throw 2 of 2,,36-38,,
8:05.0,,,36-38,,Defensive rebound by C. Coward
7:55.0,,,36-40,+2,J. Mashack makes 2-pt hook shot from 3 ft
7:41.0,Turnover by R. Dillingham (bad pass),,36-40,,
7:41.0,L. Olbrich enters the game for M. Buzelis,,36-40,,
7:26.0,,,36-43,+3,C. Coward makes 3-pt jump shot from 26 ft (assist by G. Jackson)
7:13.0,J. Giddey misses 3-pt jump shot from 26 ft,,36-43,,
7:11.0,,,36-43,,Defensive rebound by Team
7:11.0,P. Williams enters the game for R. Dillingham,,36-43,,
7:00.0,,,36-43,,C. Coward misses 2-pt jump shot from 11 ft
6:59.0,,,36-43,,Offensive rebound by J. Mashack
6:59.0,,,36-45,+2,J. Mashack makes 2-pt layup at rim
6:48.0,J. Giddey misses 2-pt layup from 5 ft,,36-45,,
6:46.0,Offensive rebound by L. Olbrich,,36-45,,
6:44.0,I. Okoro misses 3-pt jump shot from 25 ft,,36-45,,
6:41.0,,,36-45,,Defensive rebound by G. Jackson
6:37.0,,,36-45,,Offensive foul by G. Jackson (drawn by I. Okoro)
6:37.0,,,36-45,,Turnover by G. Jackson (offensive foul)
6:37.0,,,36-45,,T. Burton enters the game for C. Coward
6:37.0,,,36-45,,D. Jarreau enters the game for G. Jackson
6:21.0,T. Jones misses 3-pt jump shot from 25 ft,,36-45,,
6:17.0,,,36-45,,Defensive rebound by W. Clayton
6:13.0,,,36-47,+2,J. Mashack makes 2-pt layup from 2 ft (assist by W. Clayton)
