1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Miami,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Cleveland
12:00.0,Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession),Jump ball: B. Adebayo vs. J. Allen (J. Harden gains possession)
5:27.0,N. Powell makes 2-pt layup from 1 ft (assist by D. Mitchell),+2,38-58,,
5:18.0,,,38-61,+3,M. Strus makes 3-pt jump shot from 23 ft (assist by K. Ellis)
5:06.0,Shooting foul by K. Ellis (drawn by A. Wiggins),,38-61,,
5:06.0,A. Wiggins misses free throw 1 of 2,,38-61,,
5:06.0,Offensive rebound by Team,,38-61,,
5:06.0,A. Wiggins makes free throw 2 of 2,+1,39-61,,
4:53.0,,,39-63,+2,J. Harden makes 2-pt jump shot from 10 ft
4:41.0,S. Fontecchio misses 2-pt jump shot from 3 ft,,39-63,,
4:39.0,,,39-63,,Defensive rebound by J. Harden
4:37.0,,,39-65,+2,K. Ellis makes 2-pt layup at rim (assist by J. Harden)
4:23.0,Shooting foul by J. Allen (drawn by B. Adebayo),,39-65,,
4:23.0,,,39-65,,Cleveland full timeout
4:23.0,,,39-65,,Instant Replay (Challenge: Stands)
4:23.0,T. Herro enters the game for S. Fontecchio,,39-65,,
4:23.0,B. Adebayo makes free throw 1 of 2,+1,40-65,,
4:23.0,B. Adebayo misses free throw 2 of 2,,40-65,,
4:19.0,,,40-65,,Defensive rebound by J. Allen
4:03.0,,,40-65,,J. Allen misses 2-pt dunk from 2 ft
4:00.0,,,40-65,,Offensive rebound by J. Allen
3:59.0,,,40-67,+2,J. Allen makes 2-pt dunk from 1 ft
3:47.0,T. Herro misses 2-pt jump shot from 10 ft,,40-67,,
3:45.0,,,40-67,,Defensive rebound by J. Allen
