style,tip
top:50px;left:182px;,"4th quarter, 9:51.0 remaining<br>Jonathan Mogbo made 2-pointer from 6 ft<br>Toronto now leads 123-68"
top:48px;left:467px;,"4th quarter, 9:31.0 remaining<br>A.J. Lawson made 3-pointer from 23 ft<br>Toronto now leads 126-70"
top:33px;left:240px;,"4th quarter, 8:43.0 remaining<br>Trayce Jackson-Davis made 2-pointer from 0 ft<br>Toronto now leads 128-72"
top:264px;left:152px;,"4th quarter, 8:16.0 remaining<br>A.J. Lawson missed 3-pointer from 25 ft<br>Toronto leads 128-74"
top:164px;left:450px;,"4th quarter, 7:58.0 remaining<br>Gradey Dick missed 3-pointer from 25 ft<br>Toronto leads 128-74"
top:134px;left:372px;,"4th quarter, 7:33.0 remaining<br>Markelle Fultz missed 2-pointer from 17 ft<br>Toronto leads 128-77"
top:27px;left:233px;,"4th quarter, 7:07.0 remaining<br>Trayce Jackson-Davis made 2-pointer from 1 ft<br>Toronto now leads 130-80"
top:143px;left:182px;,"4th quarter, 6:29.0 remaining<br>Gradey Dick made 2-pointer from 13 ft<br>Toronto now leads 132-80"
top:180px;left:242px;,"4th quarter, 6:03.0 remaining<br>Gradey Dick missed 2-pointer from 15 ft<br>Toronto leads 132-82"
top:77px;left:295px;,"4th quarter, 5:38.0 remaining<br>Gradey Dick missed 2-pointer from 7 ft<br>Toronto leads 132-82"
top:49px;left:469px;,"4th quarter, 5:09.0 remaining<br>Jonathan Mogbo missed 3-pointer from 23 ft<br>Toronto leads 132-84"
top:277px;left:163px;,"4th quarter, 4:39.0 remaining<br>Alijah Martin missed 3-pointer from 26 ft<br>Toronto leads 132-84"
top:119px;left:132px;,"4th quarter, 4:08.0 remaining<br>Markelle Fultz missed 2-pointer from 14 ft<br>Toronto leads 132-87"
top:95px;left:191px;,"4th quarter, 3:42.0 remaining<br>Gradey Dick missed 2-pointer from 8 ft<br>Toronto leads 132-87"
top:34px;left:237px;,"4th quarter, 2:50.0 remaining<br>Gradey Dick made 2-pointer from 0 ft<br>Toronto now leads 135-87"
top:34px;left:233px;,"4th quarter, 2:27.0 remaining<br>Gradey Dick made 2-pointer from 1 ft<br>Toronto now leads 137-87"
top:206px;left:437px;,"4th quarter, 2:04.0 remaining<br>Garrett Temple missed 3-pointer from 26 ft<br>Toronto leads 137-87"
top:29px;left:238px;,"4th quarter, 1:30.0 remaining<br>Gradey Dick made 2-pointer from 0 ft<br>Toronto now leads 139-87"
top:41px;left:248px;,"4th quarter, 1:05.0 remaining<br>Trayce Jackson-Davis missed 2-pointer from 1 ft<br>Toronto leads 139-87"
top:263px;left:371px;,"4th quarter, 0:50.0 remaining<br>Alijah Martin missed 3-pointer from 27 ft<br>Toronto leads 139-87"
