date,home_id,away_id,opening_total,spread,ml_home,ml_away,season_id,implied_prob_home,implied_prob_away
2007-12-26,BKN,DET,185.5,5.0,185,-215,2007-08,0.3508771929824561,0.6825396825396826
2007-12-26,MEM,NOP,201.0,3.0,110,-130,2007-08,0.47619047619047616,0.5652173913043478
2007-12-26,SAS,CHI,186.5,9.5,-525,425,2007-08,0.84,0.19047619047619047
2007-12-26,DEN,MIL,209.0,8.0,-425,355,2007-08,0.8095238095238095,0.21978021978021978
2007-12-24,POR,OKC,197.5,7.5,-350,290,2007-08,0.7777777777777778,0.2564102564102564
2008-01-11,NYK,TOR,193.0,4.5,200,-240,2007-08,0.3333333333333333,0.7058823529411765
2008-01-11,BKN,BOS,186.0,7.5,250,-300,2007-08,0.2857142857142857,0.75
2008-01-11,NOP,MIA,189.0,11.5,-900,650,2007-08,0.9,0.13333333333333333
2008-01-26,CHA,PHI,190.5,4.5,-255,215,2007-08,0.7183098591549296,0.31746031746031744
2008-01-26,MEM,LAC,201.0,4.0,-160,140,2007-08,0.6153846153846154,0.4166666666666667
2008-01-26,SAS,NOP,185.5,6.0,-255,215,2007-08,0.7183098591549296,0.31746031746031744
2008-01-27,CHI,PHX,209.5,6.0,310,-370,2007-08,0.24390243902439024,0.7872340425531915
2008-01-27,LAL,CLE,204.0,5.0,-190,160,2007-08,0.6551724137931034,0.38461538461538464
2008-01-27,ORL,BOS,195.0,3.0,-140,120,2007-08,0.5833333333333334,0.45454545454545453
2008-01-27,MIL,WAS,193.0,1.5,130,-150,2007-08,0.43478260869565216,0.6
2008-01-27,POR,ATL,183.0,6.0,-260,220,2007-08,0.7222222222222222,0.3125
2008-01-26,MIA,IND,202.0,1.0,-120,100,2007-08,0.5454545454545454,0.5
2008-01-27,DAL,DEN,209.0,9.5,-600,475,2007-08,0.8571428571428571,0.17391304347826086
2008-01-27,HOU,UTA,197.0,2.5,-105,-115,2007-08,0.5121951219512195,0.5348837209302325
2008-01-27,OKC,SAC,212.5,3.5,210,-250,2007-08,0.3225806451612903,0.7142857142857143
2008-01-27,GSW,NYK,216.0,10.5,-510,410,2007-08,0.8360655737704918,0.19607843137254902
2008-01-28,NOP,DEN,206.0,8.0,-500,400,2007-08,0.8333333333333334,0.2
2008-01-28,MEM,DAL,207.0,7.0,190,-230,2007-08,0.3448275862068966,0.696969696969697
2008-01-28,UTA,SAS,196.0,1.5,-150,130,2007-08,0.6,0.43478260869565216
2008-01-28,LAC,CHA,190.0,2.5,-135,115,2007-08,0.574468085106383,0.46511627906976744
2008-01-29,IND,DET,194.0,8.5,280,-330,2007-08,0.2631578947368421,0.7674418604651163
2008-01-27,MIN,BKN,192.5,0.0,105,-125,2007-08,0.4878048780487805,0.5555555555555556
