1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Dallas,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Portland
12:00.0,Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession),Jump ball: D. Powell vs. D. Clingan (C. Flagg gains possession)
9:43.0,Shooting foul by D. Clingan (drawn by D. Powell),,62-60,,
9:43.0,D. Powell misses free throw 1 of 2,,62-60,,
9:43.0,Offensive rebound by Team,,62-60,,
9:43.0,D. Powell misses free throw 2 of 2,,62-60,,
9:39.0,,,62-60,,Defensive rebound by D. Avdija
9:29.0,,,62-60,,Shooting foul by M. Christie (drawn by J. Grant)
9:29.0,,,62-61,+1,J. Grant makes free throw 1 of 2
9:29.0,,,62-62,+1,J. Grant makes free throw 2 of 2
9:13.0,M. Christie misses 3-pt jump shot from 26 ft,,62-62,,
9:12.0,,,62-62,,Defensive rebound by D. Clingan
9:11.0,,,62-62,,Turnover by D. Clingan (lost ball; steal by N. Marshall)
9:11.0,N. Marshall makes 2-pt layup from 1 ft,+2,64-62,,
8:53.0,,,64-64,+2,D. Avdija makes 2-pt jump shot from 10 ft
8:30.0,N. Marshall misses 3-pt jump shot from 26 ft,,64-64,,
8:29.0,,,64-64,,Defensive rebound by D. Clingan
8:15.0,,,64-64,,J. Holiday misses 2-pt jump shot from 10 ft
8:13.0,,,64-64,,Offensive rebound by J. Grant
8:11.0,,,64-64,,J. Grant misses 3-pt jump shot from 27 ft
8:11.0,,,64-64,,Offensive rebound by Team
8:11.0,Loose ball foul by D. Powell (drawn by D. Clingan),,64-64,,
8:11.0,M. Bagley enters the game for D. Powell,,64-64,,
7:59.0,,,64-64,,T. Camara misses 2-pt layup from 2 ft
7:58.0,,,64-64,,Offensive rebound by T. Camara
7:57.0,,,64-66,+2,T. Camara makes 2-pt layup at rim
7:55.0,Dallas full timeout,,64-66,,
7:41.0,Personal foul by T. Camara (drawn by M. Bagley),,64-66,,
7:41.0,K. Thompson enters the game for M. Christie,,64-66,,
7:41.0,B. Williams enters the game for P. Washington,,64-66,,
7:34.0,C. Flagg misses 2-pt jump shot from 9 ft,,64-66,,
7:31.0,,,64-66,,Defensive rebound by D. Clingan
7:14.0,,,64-66,,D. Clingan misses 2-pt layup from 2 ft
7:13.0,Defensive rebound by M. Bagley,,64-66,,
6:59.0,M. Bagley makes 3-pt jump shot from 23 ft (assist by K. Thompson),+3,67-66,,
6:37.0,,,67-66,,Turnover by J. Holiday (dbl dribble)
6:37.0,,,67-66,,K. Murray enters the game for D. Clingan
6:22.0,K. Thompson misses 3-pt jump shot from 23 ft,,67-66,,
6:21.0,,,67-66,,Defensive rebound by Team
6:21.0,Loose ball foul by K. Thompson (drawn by J. Grant),,67-66,,
6:01.0,,,67-66,,Turnover by J. Holiday (off goaltending)
5:58.0,N. Marshall misses 2-pt jump shot from 9 ft,,67-66,,
5:57.0,Offensive rebound by M. Bagley,,67-66,,
5:55.0,M. Bagley makes 2-pt layup at rim,+2,69-66,,
5:43.0,,,69-66,,T. Camara misses 3-pt jump shot from 23 ft
5:40.0,Defensive rebound by N. Marshall,,69-66,,
5:30.0,M. Bagley makes 2-pt layup from 2 ft (assist by K. Thompson),+2,71-66,,
5:17.0,,,71-66,,D. Avdija misses 3-pt jump shot from 25 ft
5:14.0,,,71-66,,Offensive rebound by J. Holiday
5:13.0,,,71-66,,Turnover by T. Camara (dbl dribble)
5:13.0,A. Johnson enters the game for C. Flagg,,71-66,,
5:13.0,T. Smith enters the game for N. Marshall,,71-66,,
5:03.0,B. Williams misses 2-pt layup from 3 ft (block by D. Avdija),,71-66,,
5:01.0,,,71-66,,Defensive rebound by Team
4:50.0,,,71-66,,T. Camara misses 2-pt dunk from 1 ft
4:48.0,Defensive rebound by B. Williams,,71-66,,
4:40.0,K. Thompson misses 3-pt jump shot from 27 ft,,71-66,,
4:39.0,,,71-66,,Defensive rebound by J. Grant
4:31.0,,,71-68,+2,J. Holiday makes 2-pt jump shot from 9 ft
4:13.0,B. Williams misses 2-pt layup from 4 ft,,71-68,,
4:12.0,,,71-68,,Defensive rebound by D. Avdija
4:10.0,,,71-70,+2,D. Avdija makes 2-pt layup from 1 ft
4:09.0,Dallas full timeout,,71-70,,
3:47.0,K. Thompson misses 2-pt jump shot from 14 ft,,71-70,,
3:46.0,Offensive rebound by T. Smith,,71-70,,
3:44.0,Jump ball: J. Grant vs. T. Smith (B. Williams gains possession),Jump ball: J. Grant vs. T. Smith (B. Williams gains possession),Jump ball: J. Grant vs. T. Smith (B. Williams gains possession),Jump ball: J. Grant vs. T. Smith (B. Williams gains possession),Jump ball: J. Grant vs. T. Smith (B. Williams gains possession)
3:40.0,Turnover by T. Smith (lost ball; steal by J. Grant),,71-70,,
3:29.0,,,71-70,,D. Avdija misses 2-pt layup from 3 ft
3:28.0,Defensive rebound by T. Smith,,71-70,,
3:25.0,A. Johnson misses 2-pt layup from 2 ft (block by J. Grant),,71-70,,
3:25.0,Offensive rebound by Team,,71-70,,
3:20.0,Shooting foul by K. Murray (drawn by B. Williams),,71-70,,
3:20.0,B. Williams makes free throw 1 of 2,+1,72-70,,
3:20.0,B. Williams makes free throw 2 of 2,+1,73-70,,
3:04.0,,,73-70,,Shooting foul by B. Williams (drawn by J. Grant)
3:04.0,,,73-70,,J. Grant misses free throw 1 of 2
3:04.0,,,73-70,,Offensive rebound by Team
3:04.0,,,73-70,,D. Clingan enters the game for D. Avdija
3:04.0,,,73-70,,S. Henderson enters the game for T. Camara
3:04.0,,,73-70,,M. Thybulle enters the game for J. Holiday
3:04.0,,,73-70,,J. Grant misses free throw 2 of 2
3:01.0,,,73-70,,Offensive rebound by J. Grant
2:49.0,,,73-70,,S. Henderson misses 2-pt jump shot from 6 ft
2:47.0,Defensive rebound by M. Bagley,,73-70,,
2:31.0,M. Bagley makes 3-pt jump shot from 25 ft (assist by A. Johnson),+3,76-70,,
2:16.0,,,76-70,,D. Clingan misses 2-pt layup from 2 ft (block by M. Bagley)
2:15.0,,,76-70,,Offensive rebound by D. Clingan
2:15.0,,,76-70,,Shooting foul by M. Bagley (drawn by D. Clingan)
2:15.0,,,76-71,+1,D. Clingan makes free throw 1 of 2
2:15.0,,,76-71,,S. Cissoko enters the game for K. Murray
2:15.0,,,76-71,,D. Clingan misses free throw 2 of 2
2:12.0,Defensive rebound by T. Smith,,76-71,,
2:03.0,Turnover by B. Williams (bad pass),,76-71,,
1:54.0,,,76-71,,J. Grant misses 3-pt jump shot from 25 ft
1:53.0,,,76-71,,Offensive rebound by Team
1:53.0,,,76-71,,Portland full timeout
1:53.0,,,76-71,,Instant Replay (Challenge: Ruling Stands)
1:53.0,D. Powell enters the game for M. Bagley,,76-71,,
1:41.0,,,76-71,,M. Thybulle misses 3-pt jump shot from 23 ft
