1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Utah,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Phoenix
12:00.0,Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession),Jump ball: K. Filipowski vs. O. Ighodaro (C. Gillespie gains possession)
8:01.0,,,33-48,+3,J. Green makes 3-pt jump shot from 22 ft
7:53.0,J. Konchar misses 2-pt layup from 1 ft,,33-48,,
7:50.0,Offensive rebound by K. Filipowski,,33-48,,
7:49.0,K. Filipowski misses 2-pt layup from 1 ft,,33-48,,
7:49.0,,,33-48,,Defensive rebound by K. Maluach
7:37.0,,,33-48,,R. O'Neale misses 3-pt jump shot from 31 ft
7:35.0,Defensive rebound by B. Sensabaugh,,33-48,,
7:30.0,Turnover by B. Sensabaugh (lost ball; steal by R. Dunn),,33-48,,
7:27.0,,,33-48,,R. O'Neale misses 2-pt layup from 1 ft
7:25.0,,,33-48,,Offensive rebound by K. Maluach
7:25.0,,,33-48,,Shooting foul by K. Chandler (drawn by K. Maluach)
7:25.0,,,33-48,,K. Maluach misses free throw 1 of 2
7:25.0,,,33-48,,Offensive rebound by Team
7:25.0,,,33-49,+1,K. Maluach makes free throw 2 of 2
7:18.0,Turnover by K. Chandler (lost ball; steal by C. Gillespie),,33-49,,
7:12.0,,,33-51,+2,K. Maluach makes 2-pt dunk from 1 ft (assist by C. Gillespie)
6:57.0,K. Chandler misses 3-pt jump shot from 29 ft,,33-51,,
6:54.0,,,33-51,,Defensive rebound by K. Maluach
6:48.0,,,33-53,+2,J. Green makes 2-pt layup from 1 ft
6:31.0,Shooting foul by R. Dunn (drawn by B. Sensabaugh),,33-53,,
6:31.0,B. Sensabaugh makes free throw 1 of 2,+1,34-53,,
6:31.0,A. Bailey enters the game for K. Chandler,,34-53,,
6:31.0,E. Harkless enters the game for J. Konchar,,34-53,,
