1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Oklahoma City
10:51.0,Defensive rebound by M. Buzelis,,35-31,,
10:29.0,P. Williams misses 2-pt jump shot from 13 ft,,35-31,,
10:27.0,,,35-31,,Defensive rebound by A. Wiggins
10:20.0,,,35-31,,Turnover by I. Hartenstein (bad pass)
10:07.0,T. Jones misses 2-pt jump shot from 7 ft,,35-31,,
10:04.0,,,35-31,,Defensive rebound by I. Hartenstein
10:01.0,,,35-31,,Shooting foul by R. Dillingham (drawn by A. Mitchell)
10:01.0,,,35-32,+1,A. Mitchell makes free throw 1 of 2
10:01.0,,,35-33,+1,A. Mitchell makes free throw 2 of 2
9:48.0,M. Buzelis makes 2-pt layup from 2 ft,+2,37-33,,
9:35.0,,,37-33,,Offensive foul by I. Hartenstein (drawn by T. Jones)
9:35.0,,,37-33,,Turnover by I. Hartenstein (offensive foul)
9:35.0,J. Giddey enters the game for T. Jones,,37-33,,
9:35.0,I. Okoro enters the game for P. Williams,,37-33,,
9:19.0,Personal foul by A. Mitchell (drawn by G. Yabusele),,37-33,,
9:12.0,Turnover by J. Giddey (lost ball; steal by I. Hartenstein),,37-33,,
9:08.0,,,37-36,+3,A. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Williams)
8:56.0,M. Buzelis misses 3-pt jump shot from 25 ft,,37-36,,
8:56.0,,,37-36,,Defensive rebound by J. Williams
8:49.0,,,37-38,+2,J. Williams makes 2-pt layup from 1 ft
8:31.0,Shooting foul by J. Williams (drawn by J. Giddey),,37-38,,
8:31.0,J. Giddey makes free throw 1 of 2,+1,38-38,,
8:31.0,L. Miller enters the game for M. Buzelis,,38-38,,
8:31.0,C. Sexton enters the game for G. Yabusele,,38-38,,
8:31.0,J. Giddey misses free throw 2 of 2,,38-38,,
8:31.0,Offensive rebound by Team,,38-38,,
8:25.0,I. Okoro makes 2-pt dunk from 1 ft (assist by C. Sexton),+2,40-38,,
8:14.0,,,40-38,,Turnover by J. Williams (out of bounds lost ball)
8:14.0,Chicago full timeout,,40-38,,
8:14.0,Instant Replay (Challenge: Ruling Stands),,40-38,,
8:00.0,J. Giddey makes 2-pt jump shot from 6 ft,+2,42-38,,
7:39.0,,,42-38,,I. Hartenstein misses 2-pt jump shot from 6 ft
7:37.0,Defensive rebound by I. Okoro,,42-38,,
7:34.0,I. Okoro makes 2-pt layup from 2 ft,+2,44-38,,
7:34.0,Shooting foul by A. Mitchell (drawn by I. Okoro),,44-38,,
7:34.0,I. Okoro makes free throw 1 of 1,+1,45-38,,
7:25.0,,,45-38,,I. Joe misses 3-pt jump shot from 25 ft
7:21.0,Defensive rebound by J. Giddey,,45-38,,
7:12.0,J. Giddey misses 2-pt jump shot from 11 ft,,45-38,,
7:08.0,,,45-38,,Defensive rebound by I. Hartenstein
7:02.0,,,45-38,,I. Joe misses 3-pt jump shot from 30 ft
6:59.0,,,45-38,,Offensive rebound by A. Mitchell
6:54.0,,,45-41,+3,I. Joe makes 3-pt jump shot from 23 ft (assist by A. Mitchell)
6:39.0,C. Sexton makes 3-pt jump shot from 23 ft (assist by J. Giddey),+3,48-41,,
6:32.0,,,48-43,+2,J. Williams makes 2-pt layup from 3 ft
6:32.0,,,48-43,,Shooting foul by R. Dillingham (drawn by J. Williams)
6:32.0,,,48-43,,C. Wallace enters the game for I. Hartenstein
6:32.0,,,48-43,,J. Williams enters the game for A. Wiggins
6:32.0,,,48-44,+1,J. Williams makes free throw 1 of 1
6:18.0,L. Miller makes 2-pt hook shot from 3 ft,+2,50-44,,
6:05.0,,,50-46,+2,A. Mitchell makes 2-pt layup from 2 ft (assist by J. Williams)
5:56.0,L. Miller makes 3-pt jump shot from 25 ft (assist by J. Giddey),+3,53-46,,
5:43.0,,,53-49,+3,I. Joe makes 3-pt jump shot from 29 ft (assist by J. Williams)
5:29.0,L. Miller makes 2-pt layup from 1 ft (assist by J. Giddey),+2,55-49,,
5:29.0,,,55-49,,Oklahoma City full timeout
5:29.0,M. Buzelis enters the game for R. Dillingham,,55-49,,
5:29.0,,,55-49,,S. Gilgeous-Alexander enters the game for J. Williams
5:09.0,,,55-51,+2,A. Mitchell makes 2-pt jump shot from 5 ft
4:50.0,M. Buzelis makes 2-pt layup from 1 ft,+2,57-51,,
4:36.0,Jump ball: L. Miller vs. S. Gilgeous-Alexander (J. Giddey gains possession),Jump ball: L. Miller vs. S. Gilgeous-Alexander (J. Giddey gains possession),Jump ball: L. Miller vs. S. Gilgeous-Alexander (J. Giddey gains possession),Jump ball: L. Miller vs. S. Gilgeous-Alexander (J. Giddey gains possession),Jump ball: L. Miller vs. S. Gilgeous-Alexander (J. Giddey gains possession)
4:36.0,,,57-51,,Turnover by S. Gilgeous-Alexander (lost ball; steal by L. Miller)
4:25.0,M. Buzelis misses 3-pt jump shot from 26 ft,,57-51,,
4:23.0,,,57-51,,Defensive rebound by I. Joe
4:13.0,,,57-51,,I. Joe misses 3-pt jump shot from 29 ft
4:09.0,Defensive rebound by M. Buzelis,,57-51,,
4:04.0,L. Miller makes 2-pt dunk at rim (assist by J. Giddey),+2,59-51,,
3:41.0,,,59-51,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft
3:38.0,,,59-51,,Offensive rebound by C. Wallace
3:34.0,,,59-53,+2,S. Gilgeous-Alexander makes 2-pt layup from 3 ft (assist by I. Joe)
3:34.0,,,59-53,,Shooting foul by I. Okoro (drawn by S. Gilgeous-Alexander)
3:34.0,T. Jones enters the game for J. Giddey,,59-53,,
3:34.0,,,59-53,,A. Caruso enters the game for I. Joe
3:34.0,,,59-53,,L. Dort enters the game for A. Mitchell
3:34.0,,,59-53,,S. Gilgeous-Alexander misses free throw 1 of 1
3:31.0,Defensive rebound by M. Buzelis,,59-53,,
3:09.0,L. Miller misses 3-pt jump shot from 28 ft,,59-53,,
3:05.0,,,59-53,,Defensive rebound by C. Wallace
2:47.0,,,59-53,,J. Williams misses 3-pt jump shot from 26 ft
2:45.0,Defensive rebound by T. Jones,,59-53,,
2:33.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by T. Jones),+3,62-53,,
2:13.0,,,62-56,+3,C. Wallace makes 3-pt jump shot from 26 ft (assist by L. Dort)
2:01.0,Shooting foul by C. Wallace (drawn by I. Okoro),,62-56,,
2:01.0,I. Okoro makes free throw 1 of 2,+1,63-56,,
2:01.0,J. Giddey enters the game for C. Sexton,,63-56,,
2:01.0,,,63-56,,J. Williams enters the game for J. Williams
2:01.0,I. Okoro makes free throw 2 of 2,+1,64-56,,
1:49.0,,,64-58,+2,J. Williams makes 2-pt jump shot from 5 ft
1:29.0,J. Giddey misses 3-pt jump shot from 25 ft,,64-58,,
1:28.0,Offensive rebound by L. Miller,,64-58,,
