1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,San Antonio,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Milwaukee
12:00.0,Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession),Jump ball: V. Wembanyama vs. M. Turner (D. Fox gains possession)
1:37.0,V. Wembanyama makes free throw 1 of 2,+1,99-75,,
1:37.0,V. Wembanyama makes free throw 2 of 2,+1,100-75,,
1:21.0,,,100-78,+3,A. Jackson makes 3-pt jump shot from 22 ft (assist by M. Turner)
1:05.0,K. Johnson makes 2-pt layup from 5 ft (assist by V. Wembanyama),+2,102-78,,
0:51.0,,,102-78,,A. Jackson misses 3-pt jump shot from 23 ft
0:47.0,Defensive rebound by V. Wembanyama,,102-78,,
0:43.0,Turnover by V. Wembanyama (bad pass; steal by O. Dieng),,102-78,,
0:39.0,,,102-78,,T. Prince misses 3-pt jump shot from 25 ft
0:35.0,Defensive rebound by V. Wembanyama,,102-78,,
0:31.0,V. Wembanyama misses 2-pt layup from 5 ft (block by A. Green),,102-78,,
0:31.0,Offensive rebound by Team,,102-78,,
0:31.0,Technical foul by V. Wembanyama,,102-78,,
0:31.0,,,102-79,+1,A. Green makes technical free throw
0:28.0,L. Kornet misses 2-pt hook shot from 3 ft (block by M. Turner),,102-79,,
0:22.0,,,102-79,,Defensive rebound by T. Prince
0:17.0,,,102-79,,Turnover by O. Dieng (bad pass; steal by V. Wembanyama)
0:00.0,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter,End of 3rd quarter
4th Q,4th Q,4th Q,4th Q,4th Q,4th Q
Time,San Antonio,,Score,,Milwaukee
12:00.0,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter,Start of 4th quarter
11:47.0,D. Fox makes 2-pt jump shot from 13 ft,+2,104-79,,
11:47.0,Shooting foul by M. Turner (drawn by D. Fox),,104-79,,
11:47.0,D. Fox misses free throw 1 of 1,,104-79,,
11:43.0,,,104-79,,Defensive rebound by P. Nance
11:33.0,,,104-79,,A. Green misses 3-pt jump shot from 25 ft
11:29.0,Defensive rebound by V. Wembanyama,,104-79,,
11:24.0,V. Wembanyama makes 2-pt dunk from 1 ft (assist by D. Fox),+2,106-79,,
11:07.0,,,106-79,,A. Jackson misses 2-pt jump shot from 15 ft
11:04.0,Defensive rebound by S. Castle,,106-79,,
11:01.0,V. Wembanyama misses 3-pt jump shot from 27 ft,,106-79,,
10:58.0,,,106-79,,Defensive rebound by M. Turner
10:49.0,,,106-79,,A. Jackson misses 3-pt jump shot from 27 ft
10:45.0,Defensive rebound by S. Castle,,106-79,,
10:39.0,H. Barnes misses 3-pt jump shot from 23 ft,,106-79,,
10:35.0,,,106-79,,Defensive rebound by A. Jackson
10:35.0,,,106-79,,Turnover by A. Jackson (lost ball; steal by D. Fox)
10:30.0,S. Castle makes 3-pt jump shot from 28 ft (assist by D. Fox),+3,109-79,,
10:19.0,,,109-79,,A. Green misses 3-pt jump shot from 23 ft
10:15.0,Defensive rebound by D. Fox,,109-79,,
10:05.0,D. Fox makes 2-pt jump shot from 13 ft (assist by H. Barnes),+2,111-79,,
9:49.0,,,111-79,,Turnover by T. Prince (bad pass)
9:49.0,D. Harper enters the game for D. Fox,,111-79,,
9:35.0,Personal foul by P. Nance (drawn by H. Barnes),,111-79,,
9:35.0,,,111-79,,O. Dieng enters the game for A. Jackson
9:29.0,Personal foul by A. Green (drawn by V. Wembanyama),,111-79,,
9:15.0,J. Champagnie misses 3-pt jump shot from 29 ft,,111-79,,
9:15.0,Offensive rebound by Team,,111-79,,
9:15.0,,,111-79,,Loose ball foul by O. Dieng (drawn by V. Wembanyama)
9:15.0,K. Johnson enters the game for S. Castle,,111-79,,
9:07.0,V. Wembanyama misses 2-pt jump shot from 15 ft,,111-79,,
9:05.0,Offensive rebound by V. Wembanyama,,111-79,,
9:04.0,V. Wembanyama misses 2-pt layup from 2 ft (block by M. Turner),,111-79,,
9:04.0,Offensive rebound by V. Wembanyama,,111-79,,
9:04.0,Shooting foul by T. Prince (drawn by V. Wembanyama),,111-79,,
9:04.0,V. Wembanyama makes free throw 1 of 2,+1,112-79,,
9:04.0,V. Wembanyama makes free throw 2 of 2,+1,113-79,,
8:47.0,,,113-79,,M. Turner misses 3-pt jump shot from 23 ft
8:44.0,Defensive rebound by V. Wembanyama,,113-79,,
8:41.0,V. Wembanyama misses 2-pt layup from 3 ft,,113-79,,
8:41.0,Offensive rebound by Team,,113-79,,
8:41.0,Turnover by V. Wembanyama (traveling),,113-79,,
8:29.0,,,113-79,,T. Prince misses 3-pt jump shot from 26 ft
8:27.0,Defensive rebound by Team,,113-79,,
8:27.0,San Antonio full timeout,,113-79,,
8:15.0,V. Wembanyama misses 2-pt dunk from 3 ft,,113-79,,
8:11.0,,,113-79,,Defensive rebound by O. Dieng
7:57.0,,,113-79,,O. Dieng misses 2-pt jump shot from 17 ft
7:54.0,Defensive rebound by V. Wembanyama,,113-79,,
7:49.0,V. Wembanyama misses 3-pt jump shot from 28 ft,,113-79,,
7:45.0,,,113-79,,Defensive rebound by A. Green
7:28.0,,,113-81,+2,O. Dieng makes 2-pt layup from 1 ft (assist by P. Nance)
7:13.0,J. Champagnie misses 3-pt jump shot from 28 ft,,113-81,,
7:12.0,Offensive rebound by V. Wembanyama,,113-81,,
7:12.0,Shooting foul by T. Prince (drawn by V. Wembanyama),,113-81,,
