1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Atlanta,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Boston
12:00.0,Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession),Jump ball: O. Okongwu vs. N. Queta (B. Scheierman gains possession)
10:10.0,,,82-91,+2,L. Garza makes 2-pt layup from 3 ft (assist by J. Tatum)
9:55.0,C. McCollum makes 2-pt layup from 3 ft (assist by N. Alexander-Walker),+2,84-91,,
9:44.0,,,84-93,+2,P. Pritchard makes 2-pt layup from 2 ft
9:44.0,Atlanta full timeout,,84-93,,
9:44.0,D. Daniels enters the game for N. Alexander-Walker,,84-93,,
9:44.0,J. Johnson enters the game for Z. Risacher,,84-93,,
9:44.0,,,84-93,,N. Queta enters the game for L. Garza
9:27.0,J. Kuminga misses 3-pt jump shot from 26 ft,,84-93,,
9:24.0,,,84-93,,Defensive rebound by J. Tatum
9:14.0,,,84-95,+2,N. Queta makes 2-pt dunk at rim (assist by J. Tatum)
8:58.0,D. Daniels misses 2-pt jump shot from 6 ft,,84-95,,
8:56.0,,,84-95,,Defensive rebound by N. Queta
8:36.0,,,84-95,,P. Pritchard misses 2-pt jump shot from 9 ft
8:33.0,Defensive rebound by D. Daniels,,84-95,,
8:20.0,J. Kuminga misses 3-pt jump shot from 22 ft,,84-95,,
8:18.0,,,84-95,,Defensive rebound by J. Walsh
7:59.0,,,84-95,,P. Pritchard misses 3-pt jump shot from 26 ft
7:56.0,Defensive rebound by J. Johnson,,84-95,,
