style,tip
top:53px;left:270px;,"4th quarter, 10:35.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 4 ft<br>Miami trails 107-110"
top:48px;left:271px;,"4th quarter, 10:21.0 remaining<br>Pelle Larsson missed 2-pointer from 4 ft<br>Miami trails 107-110"
top:91px;left:198px;,"4th quarter, 10:00.0 remaining<br>Andrew Wiggins missed 2-pointer from 7 ft<br>Miami trails 107-110"
top:239px;left:86px;,"4th quarter, 9:36.0 remaining<br>Kel'el Ware missed 3-pointer from 26 ft<br>Miami trails 107-110"
top:59px;left:215px;,"4th quarter, 9:32.0 remaining<br>Andrew Wiggins missed 2-pointer from 4 ft<br>Miami trails 107-110"
top:30px;left:240px;,"4th quarter, 9:26.0 remaining<br>Andrew Wiggins missed 2-pointer from 0 ft<br>Miami trails 107-110"
top:30px;left:240px;,"4th quarter, 9:24.0 remaining<br>Andrew Wiggins made 2-pointer from 0 ft<br>Miami now trails 109-110"
top:43px;left:263px;,"4th quarter, 9:11.0 remaining<br>Jaime Jaquez Jr. made 2-pointer from 3 ft<br>Miami now leads 111-110"
top:44px;left:270px;,"4th quarter, 8:35.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 3 ft<br>Miami trails 111-113"
top:79px;left:254px;,"4th quarter, 8:13.0 remaining<br>Pelle Larsson made 2-pointer from 5 ft<br>Miami now trails 113-115"
top:156px;left:137px;,"4th quarter, 7:44.0 remaining<br>Bam Adebayo missed 2-pointer from 16 ft<br>Miami trails 113-115"
top:213px;left:237px;,"4th quarter, 7:12.0 remaining<br>Jaime Jaquez Jr. missed 2-pointer from 18 ft<br>Miami trails 113-117"
top:287px;left:103px;,"4th quarter, 6:40.0 remaining<br>Tyler Herro missed 3-pointer from 29 ft<br>Miami trails 113-119"
top:267px;left:134px;,"4th quarter, 6:34.0 remaining<br>Jaime Jaquez Jr. missed 3-pointer from 26 ft<br>Miami trails 113-119"
top:115px;left:177px;,"4th quarter, 6:06.0 remaining<br>Bam Adebayo missed 2-pointer from 11 ft<br>Miami trails 113-119"
top:54px;left:231px;,"4th quarter, 5:44.0 remaining<br>Bam Adebayo made 2-pointer from 3 ft<br>Miami now trails 115-121"
top:64px;left:201px;,"4th quarter, 5:23.0 remaining<br>Tyler Herro missed 2-pointer from 5 ft<br>Miami trails 115-121"
top:308px;left:328px;,"4th quarter, 4:50.0 remaining<br>Andrew Wiggins missed 3-pointer from 29 ft<br>Miami trails 115-123"
top:44px;left:11px;,"4th quarter, 4:13.0 remaining<br>Bam Adebayo missed 3-pointer from 23 ft<br>Miami trails 115-123"
top:111px;left:242px;,"4th quarter, 3:39.0 remaining<br>Tyler Herro missed 2-pointer from 8 ft<br>Miami trails 115-123"
top:64px;left:217px;,"4th quarter, 3:06.0 remaining<br>Davion Mitchell missed 2-pointer from 4 ft<br>Miami trails 115-126"
top:51px;left:239px;,"4th quarter, 2:50.0 remaining<br>Bam Adebayo made 2-pointer from 2 ft<br>Miami now trails 117-128"
top:88px;left:237px;,"4th quarter, 2:28.0 remaining<br>Bam Adebayo missed 2-pointer from 6 ft<br>Miami trails 117-130"
top:93px;left:226px;,"4th quarter, 1:45.0 remaining<br>Bam Adebayo missed 2-pointer from 6 ft<br>Miami trails 117-133"
top:157px;left:11px;,"4th quarter, 1:17.0 remaining<br>Davion Mitchell missed 3-pointer from 26 ft<br>Miami trails 117-133"
top:157px;left:450px;,"4th quarter, 0:14.0 remaining<br>Bam Adebayo missed 3-pointer from 25 ft<br>Miami trails 118-135"
