1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Brooklyn,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,LA Lakers
12:00.0,Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession),Jump ball: N. Claxton vs. D. Ayton (J. LaRavia gains possession)
11:47.0,Turnover by N. TraorÃ© (back court),,59-61,,
11:25.0,,,59-61,,Shooting foul by Z. Williams (drawn by A. Reaves)
11:25.0,,,59-62,+1,A. Reaves makes free throw 1 of 2
11:25.0,,,59-63,+1,A. Reaves makes free throw 2 of 2
11:12.0,N. Clowney makes 3-pt jump shot from 25 ft (assist by N. TraorÃ©),+3,62-63,,
10:54.0,,,62-63,,A. Reaves misses 2-pt jump shot from 17 ft
10:51.0,Defensive rebound by N. Claxton,,62-63,,
10:45.0,Z. Williams misses 3-pt jump shot from 28 ft,,62-63,,
10:42.0,,,62-63,,Defensive rebound by A. Reaves
10:35.0,,,62-65,+2,L. DonÄiÄ makes 2-pt jump shot from 8 ft (assist by A. Reaves)
10:28.0,Turnover by Z. Williams (lost ball; steal by J. LaRavia),,62-65,,
10:21.0,,,62-65,,Shooting foul by N. Clowney (drawn by L. DonÄiÄ)
10:21.0,,,62-66,+1,L. DonÄiÄ makes free throw 1 of 2
10:21.0,,,62-67,+1,L. DonÄiÄ makes free throw 2 of 2
10:04.0,N. Claxton misses 2-pt hook shot from 3 ft,,62-67,,
10:01.0,,,62-67,,Defensive rebound by L. James
9:53.0,,,62-67,,Turnover by L. DonÄiÄ (bad pass; steal by N. TraorÃ©)
9:46.0,N. Clowney misses 3-pt jump shot from 24 ft,,62-67,,
9:46.0,Offensive rebound by Team,,62-67,,
9:46.0,,,62-67,,LA Lakers full timeout
9:46.0,,,62-67,,Instant Replay (Challenge: Ruling Stands)
9:41.0,Jump ball: N. Claxton vs. D. Ayton (N. Clowney gains possession),Jump ball: N. Claxton vs. D. Ayton (N. Clowney gains possession),Jump ball: N. Claxton vs. D. Ayton (N. Clowney gains possession),Jump ball: N. Claxton vs. D. Ayton (N. Clowney gains possession),Jump ball: N. Claxton vs. D. Ayton (N. Clowney gains possession)
9:30.0,N. Clowney makes 2-pt hook shot from 8 ft (assist by N. Claxton),+2,64-67,,
9:17.0,,,64-67,,Personal foul by Z. Williams (drawn by D. Ayton)
9:09.0,,,64-67,,Shooting foul by N. Clowney (drawn by D. Ayton)
9:09.0,,,64-68,+1,D. Ayton makes free throw 1 of 2
9:09.0,,,64-69,+1,D. Ayton makes free throw 2 of 2
8:45.0,N. TraorÃ© misses 2-pt jump shot from 15 ft,,64-69,,
8:42.0,,,64-69,,Defensive rebound by A. Reaves
8:30.0,,,64-69,,A. Reaves misses 3-pt jump shot from 28 ft
8:28.0,Defensive rebound by Team,,64-69,,
8:28.0,,,64-69,,Loose ball foul by J. LaRavia (drawn by Z. Williams)
8:16.0,N. Claxton makes 2-pt layup from 2 ft (assist by N. TraorÃ©),+2,66-69,,
8:01.0,,,66-71,+2,D. Ayton makes 2-pt layup from 4 ft (assist by L. James)
7:50.0,D. Powell makes 2-pt layup from 3 ft (assist by N. TraorÃ©),+2,68-71,,
7:34.0,,,68-71,,Personal foul by N. TraorÃ© (drawn by A. Reaves)
7:34.0,,,68-72,+1,A. Reaves makes free throw 1 of 2
7:34.0,,,68-72,,A. Reaves misses free throw 2 of 2
7:32.0,Defensive rebound by N. Claxton,,68-72,,
7:12.0,Turnover by N. TraorÃ© (lost ball; steal by A. Reaves),,68-72,,
7:01.0,,,68-72,,Turnover by D. Ayton (lost ball; steal by N. TraorÃ©)
6:55.0,Turnover by N. TraorÃ© (bad pass; steal by L. James),,68-72,,
6:51.0,,,68-72,,Turnover by L. DonÄiÄ (bad pass; steal by Z. Williams)
6:51.0,Shooting foul by L. DonÄiÄ (drawn by Z. Williams),,68-72,,
6:51.0,Z. Williams misses free throw 1 of 2,,68-72,,
6:51.0,Offensive rebound by Team,,68-72,,
6:51.0,,,68-72,,R. Hachimura enters the game for J. LaRavia
6:51.0,Z. Williams makes free throw 2 of 2,+1,69-72,,
6:31.0,,,69-74,+2,L. DonÄiÄ makes 2-pt jump shot from 5 ft
6:16.0,N. Claxton makes 2-pt dunk from 4 ft (assist by D. Powell),+2,71-74,,
5:53.0,,,71-74,,A. Reaves misses 3-pt jump shot from 26 ft
