1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,New Orleans,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Toronto
12:00.0,Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession),Jump ball: Y. Missi vs. J. Poeltl (S. Barnes gains possession)
7:00.0,,,33-44,+2,R. Barrett makes 2-pt layup from 2 ft (assist by J. Shead)
7:00.0,New Orleans full timeout,,33-44,,
7:00.0,J. Fears enters the game for S. Bey,,33-44,,
7:00.0,H. Jones enters the game for J. Hawkins,,33-44,,
7:00.0,,,33-44,,B. Ingram enters the game for S. Mamukelashvili
6:36.0,H. Jones misses 3-pt jump shot from 23 ft,,33-44,,
6:32.0,,,33-44,,Defensive rebound by B. Ingram
6:26.0,,,33-44,,Shooting foul by H. Jones (drawn by B. Ingram)
6:26.0,,,33-45,+1,B. Ingram makes free throw 1 of 2
6:26.0,Z. Williamson enters the game for D. Queen,,33-45,,
6:26.0,,,33-46,+1,B. Ingram makes free throw 2 of 2
6:01.0,J. Poole misses 3-pt jump shot from 24 ft,,33-46,,
5:55.0,Offensive rebound by K. MatkoviÄ,,33-46,,
5:55.0,Turnover by K. MatkoviÄ (bad pass; steal by J. Shead),,33-46,,
5:52.0,,,33-46,,Shooting foul by H. Jones (drawn by C. Murray-Boyles)
5:52.0,,,33-47,+1,C. Murray-Boyles makes free throw 1 of 2
5:52.0,,,33-47,,S. Barnes enters the game for R. Barrett
5:52.0,,,33-48,+1,C. Murray-Boyles makes free throw 2 of 2
5:31.0,H. Jones misses 3-pt jump shot from 26 ft,,33-48,,
5:27.0,,,33-48,,Defensive rebound by B. Ingram
5:19.0,,,33-48,,B. Ingram misses 2-pt layup from 3 ft
5:14.0,,,33-48,,Offensive rebound by C. Murray-Boyles
5:14.0,,,33-48,,C. Murray-Boyles misses 2-pt layup at rim (block by H. Jones)
5:12.0,Defensive rebound by J. Fears,,33-48,,
5:11.0,J. Fears misses 2-pt layup from 1 ft,,33-48,,
5:09.0,,,33-48,,Defensive rebound by J. Walter
